feature	importance
RAW_1_stats_cv_whole_mul_RAW_1_stats_std_whole	3021.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_left	2630.6
RAW_4_autocorr_lag1_diff	2473.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_right	2422.2
RAW_11_param_3_right	2412.6
RAW_1_stats_kurt_left	2210.4
RAW_1_stats_skew_right	2086.8
RAW_4_autocorr_lag1_ratio	2069.8
RAW_8_sample_entropy_left	1999.6
RAW_4_autocorr_lag1_whole	1989.0
RAW_11_param_5_diff	1962.6
RAW_2_ttest_pvalue	1948.4
RAW_10_quantile_0_4_right	1910.0
RAW_8_svd_entropy_ratio_to_whole_left	1908.6
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_right	1855.2
RAW_8_sample_entropy_left_mul_RAW_2_ks_stat	1845.6
RAW_10_quantile_0_4_contribution_left	1818.0
RAW_11_param_0_ratio_to_whole_right	1799.2
RAW_1_stats_kurt_whole	1797.8
RAW_10_agg_linear_trend_attr_intercept_chunk_len_50_f_agg_mean_ratio_to_whole_left	1795.4
RAW_8_katz_fd_whole	1784.4
RAW_8_sample_entropy_contribution_right	1748.4
RAW_12_rpt_cost_cosine_whole	1746.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_diff	1704.6
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_diff	1699.6
RAW_3_cumsum_max_ratio_to_whole_left	1666.6
RAW_8_sample_entropy_whole	1652.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left	1591.6
RAW_10_quantile_0_6_ratio_to_whole_left	1583.6
RAW_10_linear_trend_attr_rvalue_ratio	1579.6
RAW_2_adf_icbest_left	1572.0
RAW_10_quantile_0_6_whole	1558.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_contribution_left	1538.4
RAW_1_stats_min_diff	1512.2
RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_right	1485.8
RAW_8_spectral_entropy_left	1482.4
RAW_10_ratio_beyond_r_sigma_1_5_diff	1448.0
RAW_10_agg_linear_trend_attr_intercept_chunk_len_10_f_agg_max_ratio_to_whole_right	1436.4
RAW_1_stats_median_whole	1426.0
RAW_10_linear_trend_attr_intercept_ratio	1406.2
RAW_1_stats_mean_right	1379.4
RAW_8_approx_entropy_whole	1370.8
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_1_0_ql_0_4_contribution_left	1359.6
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio	1358.2
RAW_8_lziv_complexity_right	1355.6
RAW_10_fft_coefficient_attr_imag_coeff_1_whole	1304.4
RAW_10_fft_coefficient_attr_imag_coeff_1_left	1266.8
RAW_8_perm_entropy_left	1224.2
RAW_5_max_power_whole	1222.0
RAW_1_stats_median_ratio	1206.4
RAW_1_stats_cv_whole	1190.0
RAW_2_ad_stat	1115.8
RAW_11_param_0_whole	1054.2
RAW_1_stats_cv_whole_mul_RAW_10_quantile_0_4_whole	1042.2
RAW_10_ratio_beyond_r_sigma_1_5_contribution_left	1041.8
RAW_1_stats_mean_whole	1041.2
RAW_2_levene_stat	1000.6
RAW_1_stats_cv_whole_mul_RAW_8_sample_entropy_left	971.2
RAW_8_perm_entropy_whole	931.6
RAW_8_sample_entropy_left_mul_RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_left	925.0
RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_left_mul_RAW_2_bartlett_pvalue	913.4
RAW_2_ks_pvalue	878.8
RAW_10_ratio_value_number_to_time_series_length_ratio_to_whole_left	866.6
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_8_ql_0_4_contribution_left	865.6
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	781.2
RAW_2_levene_pvalue	745.2
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_ratio_to_whole_right	723.2
RAW_10_quantile_0_4_whole_mul_RAW_2_bartlett_pvalue	705.6
RAW_10_percentage_of_reoccurring_values_to_all_values_contribution_left	693.4
