feature	importance
RAW_8_index_mass_quantile_q_0_1_right	1710.8
RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left	1659.2
RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left	1494.0
RAW_1_stats_cv_whole	1491.8
RAW_8_agg_linear_trend_attr_slope_chunk_len_10_f_agg_mean_contribution_left	1302.6
MARES_9_ar_param_1_ratio	1261.0
RAW_3_detrend_volatility_normalized_whole	1252.2
MARES_10_rpt_cost_rank_diff	1191.8
MARES_8_partial_autocorrelation_lag_4_ratio_to_whole_left	1178.8
RAW_8_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_left	1174.4
RAW_1_stats_median_ratio	1159.0
RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left	1149.6
RAW_8_quantile_0_6_ratio_to_whole_left	1147.2
RAW_7_sample_entropy_left	1108.2
DIFF_8_ar_coefficient_coeff_8_k_10_ratio_to_whole_right	1093.2
RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_diff	1085.0
CUMSUM_3_detrend_volatility_normalized_ratio	1078.4
RAW_8_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_right	1072.0
RAW_7_lziv_complexity_right	1069.8
RAW_8_ratio_beyond_r_sigma_1_5_diff	1065.2
CUMSUM_8_change_quantiles_f_agg_mean_isabs_True_qh_1_0_ql_0_4_ratio_to_whole_left	1053.6
DIFF_8_count_above_0_ratio_to_whole_left	1050.4
RAW_8_agg_linear_trend_attr_intercept_chunk_len_10_f_agg_max_ratio_to_whole_right	1038.0
RAW_8_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_right	1031.2
MARES_8_count_above_0_left	1013.4
RAW_5_dominant_freq_ratio_to_whole_left	1005.2
CUMSUM_8_partial_autocorrelation_lag_6_whole	1003.0
DIFF_8_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_mean_whole	998.2
CUMSUM_1_stats_max_diff	998.2
CUMSUM_8_partial_autocorrelation_lag_4_ratio_to_whole_left	980.4
DIFF_7_hjorth_complexity_right	976.4
RAW_8_benford_correlation_ratio_to_whole_left	974.2
RAW_3_detrend_volatility_normalized_right	973.6
CUMSUM_8_ratio_beyond_r_sigma_1_5_diff	973.4
CUMSUM_7_perm_entropy_whole	967.0
RAW_8_index_mass_quantile_q_0_8_left	961.2
RAW_8_change_quantiles_f_agg_mean_isabs_True_qh_0_6_ql_0_4_ratio_to_whole_left	959.4
MARES_8_fft_coefficient_attr_imag_coeff_3_ratio_to_whole_right	956.4
RAW_8_benford_correlation_whole	942.8
DIFF_8_benford_correlation_left	942.8
MARES_8_benford_correlation_whole	930.2
DIFF_9_ar_param_0_whole	907.8
RAW_2_ad_stat	888.6
DIFF_2_ks_stat	884.8
RAW_10_rpt_cost_cosine_whole	879.4
RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_whole	868.0
MARES_8_quantile_0_6_right	866.6
DIFF_7_detrended_fluctuation_ratio_to_whole_left	862.8
DIFF_8_ar_coefficient_coeff_2_k_10_ratio_to_whole_right	849.8
CUMSUM_3_detrend_volatility_normalized_right	832.4
DIFF_2_levene_pvalue	828.8
RAW_8_ratio_beyond_r_sigma_3_left	823.0
CUMSUM_8_benford_correlation_whole	820.2
RAW_7_sample_entropy_whole	808.2
RAW_2_ks_stat	802.4
RAW_8_ratio_beyond_r_sigma_0_5_diff	796.2
CUMSUM_8_benford_correlation_left	781.0
RAW_8_quantile_0_4_right	770.2
MARES_8_benford_correlation_right	768.8
CUMSUM_10_rpt_cost_normal_right	765.8
RAW_2_adf_icbest_left	762.8
CUMSUM_7_hjorth_complexity_whole	741.2
DIFF_8_friedrich_coefficients_coeff_3_m_3_r_30_right	734.6
RAW_8_ratio_beyond_r_sigma_1_left	730.6
DIFF_8_benford_correlation_whole	729.2
CUMSUM_2_mannwhitney_stat	728.4
CUMSUM_2_ad_stat	723.6
RAW_1_stats_std_whole	723.4
DIFF_8_ratio_beyond_r_sigma_1_5_whole	716.4
RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	712.6
RAW_8_quantile_0_4_whole	698.0
DIFF_2_bartlett_pvalue	680.6
RAW_1_stats_median_whole	674.2
CUMSUM_2_wilcoxon_stat	652.4
CUMSUM_4_autocorr_lag1_whole	650.8
RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left	644.2
RAW_8_ratio_beyond_r_sigma_1_5_whole	642.4
RAW_8_count_above_0_whole	639.8
RAW_1_stats_min_whole	635.2
RAW_2_ks_pvalue	629.2
RAW_1_stats_median_right	623.0
RAW_8_ratio_beyond_r_sigma_0_5_contribution_left	614.6
DIFF_7_cond_entropy_left	597.2
RAW_2_bartlett_pvalue	582.4
CUMSUM_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_whole	571.2
DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole	561.4
RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	511.8
RAW_8_percentage_of_reoccurring_values_to_all_values_diff	496.4
RAW_8_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4_whole	474.0
RAW_2_bartlett_stat	442.2
RAW_8_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_2_whole	439.8
RAW_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_whole	417.4
RAW_8_ratio_value_number_to_time_series_length_whole	379.8
RAW_8_ratio_value_number_to_time_series_length_ratio_to_whole_left	375.0
CUMSUM_2_kpss_pvalue_ratio_to_whole_left	341.6
RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio_to_whole_right	337.2
RAW_8_percentage_of_reoccurring_values_to_all_values_ratio	320.6
RAW_2_ad_pvalue	318.4
RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio_to_whole_left	248.0
CUMSUM_2_ad_pvalue	220.4
