feature	importance
RAW_1_stats_cv_whole	2009.4
RAW_10_fft_coefficient_attr_imag_coeff_1_whole	1437.4
RAW_12_rpt_cost_cosine_whole	1297.0
RAW_10_linear_trend_attr_rvalue_ratio	1252.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_left	1236.6
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_	1221.2
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_right	1214.0
RAW_11_param_3_right	1202.2
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_	1196.4
RAW_10_ratio_beyond_r_sigma_1_5	1170.2
RAW_8_perm_entropy_0	1157.6
RAW_1_stats_range_ratio	1156.2
RAW_12_rpt_cost_rank_left	1155.2
RAW_1_stats_median_ratio	1121.4
RAW_8_sample_entropy_0	1119.4
RAW_10_percentage_of_reoccurring_values_to_all_values	1118.6
RAW_4_autocorr_lag1_ratio	1108.2
RAW_11_param_5_diff	1104.6
RAW_2_ks_stat	1079.4
RAW_8_sample_entropy_diff	1076.2
RAW_10_quantile_0_4_ratio	1041.0
RAW_3_sum_ratio	1028.2
RAW_8_hjorth_complexity_diff	1010.6
RAW_10_linear_trend_attr_intercept_ratio	1010.0
RAW_11_param_0_ratio	1004.4
RAW_4_autocorr_lag1_diff	986.2
RAW_10_quantile_0_4_whole	973.8
RAW_1_stats_mean_of_rolling_std_ratio	959.2
RAW_1_stats_kurt_left	945.4
RAW_10_quantile_0_1_ratio	945.4
RAW_1_stats_mean_right	939.6
RAW_1_stats_kurt_whole	893.6
RAW_1_stats_std_whole	888.0
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4_ratio	853.6
RAW_8_sample_entropy_whole	831.8
RAW_2_bartlett_stat	810.4
RAW_10_quantile_0_4_right	810.2
RAW_1_stats_median_right	797.2
RAW_1_stats_mean_whole	773.2
RAW_2_ad_stat	772.8
RAW_2_shapiro_pvalue_left	770.8
RAW_1_stats_min_whole	754.2
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio	737.8
RAW_2_ks_pvalue	724.6
RAW_2_jb_pvalue_ratio	701.4
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_whole	690.2
RAW_2_levene_stat	651.8
RAW_11_param_0_whole	641.8
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_whole	608.4
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_2_whole	572.6
RAW_10_ratio_value_number_to_time_series_length_whole	548.2
RAW_2_bartlett_pvalue	473.4
RAW_1_stats_mean_of_rolling_std_whole	435.2
RAW_10_ratio_value_number_to_time_series_length	402.6
RAW_2_levene_pvalue	395.2
RAW_2_jb_pvalue_left	319.6
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio	307.0
RAW_10_percentage_of_reoccurring_values_to_all_values_left	293.4
RAW_2_ad_pvalue	248.0
RAW_10_ratio_value_number_to_time_series_length_left	224.6
RAW_10_ratio_value_number_to_time_series_length_ratio	149.0
