feature	importance
RAW_1_stats_cv_whole	1942.4
RAW_10_fft_coefficient_attr_imag_coeff_1_whole	1298.0
RAW_10_linear_trend_attr_rvalue_ratio	1230.6
RAW_12_rpt_cost_cosine_whole	1227.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_	1164.8
RAW_11_param_3_right	1088.4
RAW_11_param_5_diff	1087.8
RAW_10_linear_trend_attr_intercept_ratio	1047.2
RAW_9_higuchi_fd_diff	1017.4
RAW_8_perm_entropy_0	993.6
RAW_1_stats_median_ratio	990.0
RAW_8_perm_entropy_1	951.0
RAW_10_percentage_of_reoccurring_values_to_all_values	920.8
RAW_12_rpt_cost_rank_left	903.2
RAW_4_autocorr_lag1_diff	892.4
RAW_1_stats_skew_right	890.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_left	889.6
RAW_11_param_4_left	888.4
RAW_8_sample_entropy_diff	871.8
RAW_10_fft_coefficient_attr_imag_coeff_1_left	870.0
RAW_8_detrended_fluctuation_whole	870.0
RAW_2_ks_stat	869.0
RAW_3_sum_ratio	866.6
RAW_10_quantile_0_4_ratio	863.2
RAW_8_sample_entropy_1	859.6
RAW_1_stats_range_ratio	859.0
RAW_2_ttest_pvalue	845.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio	840.0
RAW_8_hjorth_complexity_1	837.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_max_left	828.6
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_ratio	822.2
RAW_4_autocorr_lag1_ratio	821.4
RAW_8_sample_entropy_0	813.0
RAW_10_change_quantiles_f_agg_mean_isabs_True_qh_1_0_ql_0_4_ratio	802.6
RAW_2_bartlett_stat	799.6
RAW_1_stats_kurt_right	794.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_right	790.6
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_	786.6
RAW_10_quantile_0_6_ratio	767.4
RAW_11_param_1_ratio	749.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_max_right	747.4
RAW_8_hjorth_complexity_diff	746.8
RAW_10_quantile_0_4_whole	733.4
RAW_10_ratio_beyond_r_sigma_1_5	727.0
RAW_11_param_0_ratio	727.0
RAW_1_stats_mean_right	717.8
RAW_12_rpt_cost_mahalanobis_right	716.0
RAW_1_stats_kurt_left	712.4
RAW_1_stats_kurt_ratio	709.4
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio	707.4
RAW_1_stats_median_whole	704.2
RAW_1_stats_mean_of_rolling_std_ratio	701.6
RAW_1_stats_median_diff	696.2
RAW_10_quantile_0_1_ratio	694.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_right	694.2
RAW_1_stats_mean_whole	691.8
RAW_2_ad_stat	686.4
RAW_10_quantile_0_4_right	681.0
RAW_8_approx_entropy_whole	658.0
RAW_2_wilcoxon_stat	650.6
RAW_1_stats_kurt_whole	633.0
RAW_10_ratio_beyond_r_sigma_1_5_whole	619.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_max_	615.4
RAW_1_stats_std_whole	611.0
RAW_2_levene_stat	608.0
RAW_8_sample_entropy_whole	607.4
RAW_1_stats_median_right	598.6
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_ratio	598.0
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4_ratio	590.2
RAW_10_quantile_0_6	589.4
RAW_2_ks_pvalue	580.6
RAW_11_ar_resid_std_right	572.4
RAW_10_ratio_beyond_r_sigma_1_5_ratio	554.6
RAW_11_param_0_whole	552.4
RAW_2_jb_pvalue_ratio	540.6
RAW_10_ratio_beyond_r_sigma_1_5_left	534.2
RAW_2_shapiro_pvalue_left	525.2
RAW_1_stats_min_whole	508.6
RAW_12_rpt_cost_l1_left	499.6
RAW_10_ratio_value_number_to_time_series_length_whole	491.6
RAW_2_bartlett_pvalue	473.8
RAW_2_levene_pvalue	473.0
RAW_1_stats_range_left	445.6
RAW_10_quantile_0_6_left	396.2
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_whole	393.8
RAW_8_cond_entropy_0	384.4
RAW_2_shapiro_pvalue_whole	384.2
RAW_10_quantile_0_6_whole	365.8
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints	364.6
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_2_whole	363.4
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_whole	360.8
RAW_10_ratio_beyond_r_sigma_6_ratio	358.0
RAW_10_ratio_value_number_to_time_series_length	357.6
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole	349.6
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4_whole	347.0
RAW_1_stats_mean_of_rolling_std_whole	295.0
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio	261.4
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_2_whole	256.8
RAW_2_jb_pvalue_left	253.6
RAW_10_percentage_of_reoccurring_values_to_all_values_left	238.4
RAW_2_ad_pvalue	221.6
RAW_10_ratio_value_number_to_time_series_length_left	164.0
RAW_10_ratio_value_number_to_time_series_length_ratio	98.0
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_left	92.2
