feature	importance
RAW_1_stats_cv_whole	1000.2
RAW_10_percentage_of_reoccurring_values_to_all_values	638.6
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints	628.0
RAW_12_rpt_cost_cosine_whole	562.2
RAW_8_sample_entropy_0	561.0
RAW_1_stats_median_ratio	554.0
RAW_8_perm_entropy_0	530.8
RAW_2_ad_stat	432.6
RAW_2_ks_stat	422.8
RAW_9_higuchi_fd_diff	408.4
RAW_2_bartlett_stat	405.6
RAW_4_autocorr_lag1_diff	402.8
RAW_11_param_5_diff	376.0
RAW_10_ratio_value_number_to_time_series_length	370.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_	361.6
RAW_10_ratio_beyond_r_sigma_1_5	358.0
RAW_1_stats_mean_whole	354.8
RAW_2_ttest_pvalue	343.6
RAW_1_stats_std_whole	340.8
RAW_8_hjorth_complexity_diff	321.0
RAW_1_stats_mean_ratio	319.2
RAW_8_sample_entropy_diff	317.2
RAW_1_stats_median_whole	315.0
RAW_1_stats_theil_sen_slope_left	311.6
RAW_1_stats_kurt_left	301.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_	301.0
RAW_2_levene_stat	300.0
RAW_8_lziv_complexity_1	299.4
RAW_8_sample_entropy_1	297.0
RAW_12_rpt_cost_cosine_left	295.2
RAW_2_ks_pvalue	293.4
RAW_8_approx_entropy_0	287.4
RAW_8_perm_entropy_1	285.4
RAW_1_stats_kurt_whole	278.6
RAW_1_stats_mean_of_rolling_std_ratio	269.0
RAW_2_kpss_stat_diff	268.8
RAW_10_fft_coefficient_attr_imag_coeff_3	267.8
RAW_1_stats_mean_right	264.2
RAW_10_fft_coefficient_attr_imag_coeff_2	262.0
RAW_1_stats_mean_of_rolling_std_whole	261.2
RAW_12_rpt_cost_rank_left	255.0
RAW_1_stats_skew_ratio	252.0
RAW_11_param_3_diff	249.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_	246.4
RAW_1_stats_kurt_right	244.8
RAW_1_stats_median_left	244.6
RAW_2_bartlett_pvalue	244.4
RAW_2_wilcoxon_stat	244.0
RAW_1_stats_skew_right	243.4
RAW_12_rpt_cost_cosine_right	242.4
RAW_10_quantile_0_6	240.0
RAW_1_stats_cv_diff	239.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_max_	237.4
RAW_10_last_location_of_maximum	235.4
RAW_9_katz_fd_diff	235.0
RAW_1_stats_range_ratio	229.2
RAW_8_lziv_complexity_diff	227.4
RAW_5_dominant_freq_diff	219.2
RAW_8_lziv_complexity_0	219.0
RAW_1_stats_median_right	217.8
RAW_1_stats_cv_right	216.0
RAW_1_stats_kurt_ratio	212.2
RAW_10_ar_coefficient_coeff_2_k_10	212.0
RAW_1_stats_median_diff	211.8
RAW_10_linear_trend_attr_rvalue_	206.8
RAW_2_levene_pvalue	205.2
RAW_12_rpt_cost_l1_left	202.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_mean_	202.0
RAW_8_spectral_entropy_0	200.4
RAW_11_param_4_diff	200.0
RAW_2_adf_stat_diff	199.4
RAW_10_fft_coefficient_attr_imag_coeff_1	197.6
RAW_8_cond_entropy_diff	197.2
RAW_2_mannwhitney_pvalue	195.6
RAW_8_hjorth_complexity_1	191.4
RAW_1_stats_skew_diff	190.4
RAW_10_partial_autocorrelation_lag_2	190.2
RAW_1_stats_cv_left	187.2
RAW_10_ratio_beyond_r_sigma_6	181.8
RAW_1_stats_min_diff	181.4
RAW_8_svd_entropy_diff	181.0
RAW_1_stats_skew_whole	180.6
RAW_2_shapiro_pvalue_right	180.0
RAW_8_svd_entropy_0	178.8
RAW_1_stats_skew_left	177.4
RAW_1_stats_min_ratio	176.0
RAW_2_shapiro_pvalue_diff	173.4
RAW_8_hjorth_mobility_1	171.6
RAW_12_rpt_cost_rank_right	170.8
RAW_1_stats_cv_ratio	169.4
RAW_8_hjorth_mobility_0	169.0
RAW_2_shapiro_pvalue_left	168.4
RAW_9_petrosian_fd_diff	166.4
RAW_8_perm_entropy_diff	166.4
RAW_10_quantile_0_4	160.6
RAW_1_stats_mean_of_rolling_std_right	160.0
RAW_10_change_quantiles_f_agg_mean_isabs_True_qh_0_6_ql_0_4	160.0
RAW_8_hjorth_complexity_0	159.4
RAW_1_stats_std_left	156.2
RAW_8_shannon_entropy_0	156.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_mean_	155.8
RAW_8_shannon_entropy_1	154.4
RAW_12_rpt_cost_mahalanobis_right	149.6
RAW_12_rpt_cost_rbf_whole	148.2
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_4_ql_0_2	146.8
RAW_8_svd_entropy_1	146.8
RAW_1_stats_theil_sen_slope_whole	146.4
RAW_3_sum_right	146.2
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4	145.8
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4	144.2
RAW_10_agg_linear_trend_attr_intercept_chunk_len_50_f_agg_max_	143.8
RAW_10_first_location_of_maximum	143.6
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_4_ql_0_2	142.4
RAW_10_quantile_0_1	140.6
RAW_3_sum_diff	140.6
RAW_1_stats_max_ratio	138.6
RAW_8_spectral_entropy_diff	138.2
RAW_1_stats_mean_of_rolling_std_left	137.2
RAW_1_stats_min_whole	136.8
RAW_2_adf_icbest_diff	136.0
RAW_8_approx_entropy_diff	135.6
RAW_10_agg_linear_trend_attr_slope_chunk_len_50_f_agg_mean_	135.4
RAW_10_agg_linear_trend_attr_intercept_chunk_len_5_f_agg_max_	134.4
RAW_8_cond_entropy_0	134.2
RAW_1_stats_mean_left	134.0
RAW_9_detrended_fluctuation_diff	132.8
RAW_8_approx_entropy_1	132.8
RAW_11_param_0_diff	131.6
RAW_1_stats_theil_sen_slope_ratio	131.6
RAW_8_spectral_entropy_1	130.4
RAW_2_jb_pvalue_left	129.4
RAW_10_agg_linear_trend_attr_intercept_chunk_len_50_f_agg_mean_	128.2
RAW_1_stats_range_diff	128.2
RAW_10_agg_linear_trend_attr_intercept_chunk_len_10_f_agg_max_	127.8
RAW_1_stats_kurt_diff	126.4
RAW_5_max_power_diff	126.0
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_2	126.0
RAW_2_ad_pvalue	124.0
RAW_1_stats_std_right	121.4
RAW_1_stats_theil_sen_slope_diff	120.0
RAW_8_num_zerocross_1	117.2
RAW_8_num_zerocross_0	116.6
RAW_6_iqr_diff	115.8
RAW_2_adf_pvalue_right	114.4
RAW_10_change_quantiles_f_agg_mean_isabs_True_qh_1_0_ql_0_4	114.0
RAW_12_rpt_cost_rbf_right	111.8
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4	110.6
RAW_8_shannon_entropy_diff	108.8
RAW_1_stats_range_left	107.4
RAW_12_rpt_cost_normal_left	106.6
RAW_1_stats_theil_sen_slope_right	105.2
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_8_ql_0_6	104.8
RAW_4_zero_cross_diff	104.4
RAW_10_agg_linear_trend_attr_intercept_chunk_len_10_f_agg_mean_	103.6
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_1_0_ql_0_2	100.6
RAW_12_rpt_cost_normal_right	99.8
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_8_ql_0_2	99.6
RAW_12_rpt_cost_clinear_right	98.6
RAW_10_linear_trend_attr_intercept_	98.6
RAW_1_stats_max_left	97.8
RAW_2_adf_pvalue_diff	96.2
RAW_12_rpt_cost_mahalanobis_left	95.8
RAW_12_rpt_cost_l1_right	95.0
RAW_3_cumsum_max_diff	94.4
RAW_1_stats_max_diff	94.0
RAW_12_rpt_cost_mahalanobis_whole	93.6
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_2	93.6
RAW_12_rpt_cost_normal_whole	90.4
RAW_1_stats_mean_diff	90.2
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_1_0_ql_0_4	89.8
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_1_0_ql_0_2	87.8
RAW_1_stats_min_left	87.0
RAW_1_stats_range_whole	86.6
RAW_2_adf_pvalue_left	86.6
RAW_2_mannwhitney_stat	84.2
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_1_0_ql_0_4	83.6
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0	82.4
RAW_2_jb_pvalue_diff	82.0
RAW_1_stats_std_ratio	81.6
RAW_1_stats_mean_of_rolling_std_diff	81.0
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_8_ql_0_4	79.4
RAW_10_linear_trend_attr_slope_	76.8
RAW_10_agg_linear_trend_attr_intercept_chunk_len_5_f_agg_mean_	76.4
RAW_12_rpt_cost_rbf_left	76.2
RAW_1_stats_min_right	75.6
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_2	74.6
RAW_1_stats_max_right	74.2
RAW_10_agg_linear_trend_attr_slope_chunk_len_5_f_agg_mean_	74.0
RAW_10_agg_linear_trend_attr_slope_chunk_len_10_f_agg_mean_	72.4
RAW_1_stats_std_diff	69.4
RAW_7_rolling_std_w50_mean_diff	69.2
RAW_12_rpt_cost_l2_right	68.6
RAW_1_stats_max_whole	67.4
RAW_2_jb_pvalue_right	65.6
RAW_2_kpss_pvalue_diff	58.6
RAW_11_ar_residuals_s2_pred_std	57.6
RAW_12_rpt_cost_ar_right	56.2
RAW_8_cond_entropy_1	51.8
RAW_1_stats_range_right	49.8
RAW_2_wilcoxon_pvalue	44.6
RAW_2_kpss_pvalue_right	30.8
RAW_2_kpss_pvalue_left	20.4
RAW_12_rpt_cost_rank_whole	0.0
