feature	importance
RAW_1_stats_cv_whole	1601.4
RAW_10_fft_coefficient_attr_imag_coeff_1_whole	1043.0
RAW_10_linear_trend_attr_rvalue_ratio	975.6
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_left	942.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_diff	903.2
RAW_4_autocorr_lag1_ratio	863.0
RAW_11_param_5_diff	844.6
RAW_10_ratio_beyond_r_sigma_1_5_diff	830.4
RAW_11_param_3_right	818.0
RAW_8_perm_entropy_left	792.2
RAW_10_percentage_of_reoccurring_values_to_all_values_diff	786.2
RAW_10_linear_trend_attr_intercept_ratio	766.4
RAW_2_ttest_pvalue	765.8
RAW_1_stats_range_ratio	759.2
RAW_8_sample_entropy_diff	757.8
RAW_12_rpt_cost_rank_left	757.4
RAW_4_autocorr_lag1_diff	750.2
RAW_2_ks_stat	745.8
RAW_3_sum_ratio	743.8
RAW_11_param_4_left	731.4
RAW_8_hjorth_complexity_diff	722.2
RAW_13_robust_log_cv_right	718.4
RAW_13_robust_quartile_cv_whole	718.2
RAW_1_stats_median_ratio	713.2
RAW_8_sample_entropy_right	713.0
RAW_10_quantile_0_4_ratio	694.2
RAW_13_robust_log_cv_ratio	690.6
RAW_1_stats_kurt_right	680.4
RAW_8_detrended_fluctuation_whole	677.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_diff	677.6
RAW_12_rpt_cost_cosine_whole	669.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_right	667.6
RAW_2_bartlett_stat	662.4
RAW_10_quantile_0_1_ratio	655.6
RAW_10_change_quantiles_f_agg_mean_isabs_True_qh_1_0_ql_0_4_ratio	644.8
RAW_11_param_0_ratio	638.4
RAW_1_stats_mean_right	629.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_max_right	622.2
RAW_10_fft_coefficient_attr_imag_coeff_1_left	617.0
RAW_1_stats_median_diff	613.4
RAW_1_stats_kurt_left	613.2
RAW_8_sample_entropy_left	612.0
RAW_13_robust_log_cv_whole	608.2
RAW_2_ad_stat	600.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_max_diff	590.2
RAW_1_stats_mean_of_rolling_std_ratio	581.0
RAW_8_approx_entropy_whole	573.4
RAW_1_stats_mean_whole	573.2
RAW_10_quantile_0_4_whole	567.6
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio	564.2
RAW_1_stats_min_diff	559.2
RAW_13_robust_log_cv_left	548.0
RAW_2_ks_pvalue	545.4
RAW_13_robust_log_cv_diff	536.8
RAW_8_cond_entropy_left	528.0
RAW_1_stats_kurt_whole	516.6
RAW_10_ratio_beyond_r_sigma_1_5_whole	507.8
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_ratio	505.8
RAW_13_robust_quartile_cv_right	504.6
RAW_13_robust_mad_cv_left	501.4
RAW_10_quantile_0_4_right	500.8
RAW_8_sample_entropy_whole	497.2
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4_ratio	490.4
RAW_1_stats_std_whole	489.6
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_right	487.2
RAW_13_robust_quartile_cv_ratio	483.4
RAW_2_levene_stat	475.8
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_diff	469.0
RAW_2_jb_pvalue_ratio	459.8
RAW_1_stats_median_right	456.8
RAW_11_param_0_whole	451.6
RAW_13_robust_quartile_cv_diff	419.6
RAW_1_stats_min_whole	415.4
RAW_2_shapiro_pvalue_left	412.0
RAW_13_robust_mad_cv_whole	410.4
RAW_1_stats_median_whole	409.6
RAW_13_robust_mad_cv_right	399.4
RAW_13_robust_quartile_cv_left	387.6
RAW_10_ratio_value_number_to_time_series_length_whole	367.2
RAW_2_bartlett_pvalue	363.0
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole	360.6
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_2_whole	349.8
RAW_10_ratio_beyond_r_sigma_6_ratio	343.2
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_whole	340.0
RAW_2_levene_pvalue	339.2
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_whole	335.8
RAW_10_ratio_value_number_to_time_series_length_diff	334.8
RAW_13_robust_mad_cv_ratio	329.2
RAW_13_robust_iqr_cv_right	327.0
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_left	323.2
RAW_13_robust_iqr_cv_whole	319.4
RAW_2_shapiro_pvalue_whole	287.4
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_2_whole	270.8
RAW_13_robust_iqr_cv_left	270.2
RAW_7_rolling_std_w50_mean_whole	266.8
RAW_13_robust_iqr_cv_ratio	225.6
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio	221.4
RAW_13_robust_mad_cv_diff	220.4
RAW_2_jb_pvalue_left	201.2
RAW_10_percentage_of_reoccurring_values_to_all_values_left	166.6
RAW_2_ad_pvalue	163.4
RAW_13_robust_iqr_cv_diff	145.8
RAW_10_ratio_value_number_to_time_series_length_ratio	126.6
RAW_10_ratio_value_number_to_time_series_length_left	101.0
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_left	62.6
