feature	importance
RAW_1_stats_cv_whole	1092.4
RAW_10_percentage_of_reoccurring_values_to_all_values	695.6
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints	666.4
RAW_8_sample_entropy_0	639.0
RAW_12_rpt_cost_cosine_whole	627.0
RAW_8_perm_entropy_0	623.2
RAW_1_stats_median_ratio	570.4
RAW_2_ad_stat	486.0
RAW_4_autocorr_lag1_diff	482.4
RAW_11_param_5_diff	480.0
RAW_2_ks_stat	473.2
RAW_12_rpt_cost_rank_left	462.4
RAW_2_bartlett_stat	451.0
RAW_9_higuchi_fd_diff	444.4
RAW_10_ratio_beyond_r_sigma_1_5	425.8
RAW_1_stats_theil_sen_slope_inv_ratio	421.2
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_	418.6
RAW_1_stats_median_inv_ratio	402.2
RAW_1_stats_theil_sen_slope_left	391.2
RAW_8_sample_entropy_1	391.2
RAW_8_sample_entropy_diff	391.0
RAW_8_lziv_complexity_1	388.4
RAW_1_stats_mean_whole	386.8
RAW_2_ttest_pvalue	386.0
RAW_10_ratio_value_number_to_time_series_length	385.6
RAW_8_hjorth_complexity_diff	378.4
RAW_1_stats_kurt_left	373.2
RAW_8_perm_entropy_1	367.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_	365.0
RAW_1_stats_skew_right	365.0
RAW_1_stats_std_whole	364.0
RAW_1_stats_median_whole	364.0
RAW_2_kpss_stat_diff	359.0
RAW_8_approx_entropy_0	358.2
RAW_12_rpt_cost_cosine_left	356.0
RAW_10_fft_coefficient_attr_imag_coeff_3	339.6
RAW_1_stats_mean_right	331.2
RAW_2_ks_pvalue	325.6
RAW_1_stats_kurt_whole	324.6
RAW_2_wilcoxon_stat	315.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_	314.6
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_mean_	313.0
RAW_2_levene_stat	312.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_max_	309.4
RAW_1_stats_kurt_right	308.2
RAW_1_stats_mean_of_rolling_std_whole	303.2
RAW_1_stats_mean_ratio	299.8
RAW_10_linear_trend_attr_rvalue_	291.4
RAW_10_last_location_of_maximum	290.2
RAW_1_stats_cv_diff	287.8
RAW_10_quantile_0_6	286.2
RAW_9_katz_fd_diff	285.4
RAW_1_stats_skew_inv_ratio	283.2
RAW_8_hjorth_complexity_1	280.8
