feature	permutation_importance_mean	permutation_importance_std
RAW_1_stats_cv_whole_mul_RAW_1_stats_std_whole	0.25472077656485725	0.008538262813388169
RAW_1_stats_cv_whole	0.010415815466967623	0.002355859044808543
RAW_8_sample_entropy_left	0.007660788832529092	0.0013881889075348956
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	0.004755488729973852	0.003679391197640401
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left	0.0034058339548713366	0.0006339567298576183
RAW_10_fft_coefficient_attr_imag_coeff_1_whole	0.00326843251208138	0.0011379030528641647
RAW_10_percentage_of_reoccurring_values_to_all_values_contribution_left	0.0032115238936197775	0.002481471446551476
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	0.0026685821052562656	0.0021092647202718747
RAW_8_sample_entropy_left_mul_RAW_2_ks_stat	0.0026544465244780968	0.0018745952820406846
RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_left	0.002638185730609367	0.0010534160095320099
RAW_2_ad_stat	0.002437573597261592	0.0019725063778674853
RAW_10_ratio_beyond_r_sigma_1_5_diff	0.0024206874134767584	0.0015465477867235757
RAW_1_stats_median_ratio	0.002299395032383592	0.0017236794738781564
RAW_10_ratio_value_number_to_time_series_length_whole	0.0022950728157144474	0.0008326489152283145
RAW_8_sample_entropy_whole	0.0022366309338905876	0.0012180557137477712
RAW_1_stats_mean_whole	0.0019990974182151166	0.0010733249708189392
RAW_3_cumsum_max_ratio_to_whole_left	0.0016821207453341556	0.0007365737945668311
RAW_2_ad_pvalue	0.001612846188130921	0.0006110726093350848
RAW_4_autocorr_lag1_diff	0.0015587026901645994	0.001028834254875452
RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_right	0.001499769328854651	0.0006877298241291591
RAW_12_rpt_cost_cosine_whole	0.0014708900718969444	0.0005487246390306013
RAW_2_ks_stat_mul_RAW_1_stats_kurt_left	0.0014295906221297873	0.0007268700112311564
RAW_11_param_3_right	0.0014191138911787647	0.0008896688729196332
RAW_1_stats_median_whole	0.0014011061287348334	0.0008538644313992875
RAW_8_perm_entropy_left	0.0013945317389734413	0.0008915883419186361
RAW_10_ratio_value_number_to_time_series_length_ratio_to_whole_left	0.0013915606225969167	0.0007534821674608062
RAW_1_stats_cv_whole_mul_RAW_10_percentage_of_reoccurring_values_to_all_values_contribution_left	0.0013526860267202723	0.0020080361356201574
RAW_4_autocorr_lag1_ratio	0.001340211323783912	0.0006076949212728038
RAW_10_linear_trend_attr_intercept_ratio	0.0012901233855920023	0.0003875691286359753
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio_to_whole_left	0.001280733125362221	0.0013339565793717126
RAW_10_ar_coefficient_coeff_2_k_10_left	0.0012668933791389315	0.0003352310323728429
RAW_2_levene_stat	0.0012119410189519188	0.00046110308214156474
RAW_2_ks_stat_mul_RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_right	0.0011707446004298038	0.00088417903278327
RAW_10_linear_trend_attr_rvalue_ratio	0.001154995251457578	0.0001684205697864665
RAW_11_param_0_whole	0.0011492561836788096	0.000972713615098809
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_mul_RAW_10_percentage_of_reoccurring_values_to_all_values_contribution_left	0.0011239309269335264	0.0019513201247110556
RAW_2_levene_pvalue	0.0011130962272437328	0.0007372626191544721
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_diff	0.001109784877272917	0.0007895122577268705
RAW_2_bartlett_pvalue	0.001101844173482306	0.0012105711635031523
RAW_1_stats_kurt_whole	0.0010787263530422765	0.0006799202866094223
RAW_2_bartlett_stat	0.001030455688191425	0.0016182122461079744
RAW_10_quantile_0_4_whole_mul_RAW_2_bartlett_pvalue	0.0009680873961634674	0.0010192158175399686
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio_to_whole_right	0.0009379141525920731	0.00023721408687118822
RAW_1_stats_cv_whole_mul_RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	0.0008528286279958797	0.0012667224803497136
RAW_10_quantile_0_4_right	0.0008449360135267504	0.0004387596644832933
RAW_1_stats_cv_whole_mul_RAW_10_quantile_0_4_whole	0.0007309582822769389	0.0008624274390948683
RAW_1_stats_mean_right	0.0007027394264050657	0.0007172226844410111
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio	0.0006638806466992009	0.0009552281812605064
RAW_10_percentage_of_reoccurring_values_to_all_values_diff	0.0006516036034805172	0.00048565870715324533
RAW_2_ks_stat_mul_RAW_2_bartlett_pvalue	0.0006386265569315686	0.0007618924549216163
RAW_2_ks_stat	0.0005307735645872481	0.0008175002546217318
RAW_1_stats_kurt_left	0.0005131563508569937	0.0005093797224950707
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_right	0.00046237467173098067	0.000789546842094882
RAW_1_stats_cv_whole_mul_RAW_8_sample_entropy_left	0.0004150291899646918	0.0004105232195311858
RAW_1_stats_std_whole_mul_RAW_1_stats_kurt_left	0.00041286930533319667	0.0004276447769314207
RAW_2_shapiro_pvalue_left	0.00039072809814924005	0.00043819277802533454
RAW_1_stats_cv_whole_mul_RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_right	0.00039002176055214833	0.000854354734373329
RAW_5_max_power_whole	0.00038240793548033667	0.00035144193955698535
RAW_1_stats_cv_whole_mul_RAW_2_ks_stat	0.0003572235184731709	0.0005188977695623556
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_right	0.00034999475512735524	0.00038226514054909787
RAW_2_ks_pvalue	0.00034732941571045896	0.0005879911385127775
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_2_whole	0.0003307490375600064	0.0003218163132562617
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_right_mul_RAW_2_bartlett_pvalue	0.0003305481348332906	0.000375578451502346
RAW_1_stats_std_whole	0.0003183805016009833	0.0003971408783273958
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_right_mul_RAW_1_stats_kurt_left	0.0003168534679918433	0.000501913467921118
RAW_10_quantile_0_4_whole_mul_RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_right	0.0003096078617107723	0.00027405395237703884
RAW_8_spectral_entropy_left	0.00030042803406950095	0.0006174810145281414
RAW_1_stats_std_whole_mul_RAW_2_bartlett_pvalue	0.0002890983736093888	0.00037466081264677146
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_whole	0.00028101924515241847	0.00049478995618318
RAW_1_stats_cv_whole_mul_RAW_1_stats_kurt_left	0.0002764309612065119	0.00035203209988484736
RAW_10_ratio_value_number_to_time_series_length_diff	0.00027639899762834877	0.0004297438531837601
RAW_1_stats_std_whole_mul_RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_right	0.0002494294979634115	0.0003298445212920542
RAW_8_perm_entropy_whole	0.00024772980688087865	0.0007382861259670409
RAW_1_stats_std_whole_mul_RAW_2_ks_stat	0.0002417955198387056	0.0001642950088260127
RAW_1_stats_std_whole_mul_RAW_8_sample_entropy_left	0.00022138688270253006	0.00019006753311407706
RAW_1_stats_cv_whole_mul_RAW_2_bartlett_pvalue	0.00020204173854482696	0.00025735194231130663
RAW_8_sample_entropy_left_mul_RAW_10_quantile_0_4_whole	0.00019183063203615953	0.0008029775513837189
RAW_8_sample_entropy_left_mul_RAW_2_bartlett_pvalue	0.00018332493653768766	0.0005005769162906872
RAW_1_stats_std_whole_mul_RAW_10_percentage_of_reoccurring_values_to_all_values_contribution_left	0.00017700003576028413	0.00031335745594595406
RAW_1_stats_std_whole_mul_RAW_10_quantile_0_4_whole	0.0001404056260534714	0.00019637612312100276
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_mul_RAW_8_sample_entropy_left	0.0001397005845518373	0.00045818284799099607
RAW_10_quantile_0_4_whole_mul_RAW_1_stats_kurt_left	0.000133788651154253	0.00030429017417241323
RAW_2_ks_stat_mul_RAW_10_quantile_0_4_whole	0.00013271540050340368	0.00026086910188878127
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_mul_RAW_1_stats_std_whole	0.0001285515964128359	0.00013593763287332984
RAW_8_sample_entropy_left_mul_RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_right	0.0001250769987081257	0.00042185942535304463
RAW_8_sample_entropy_left_mul_RAW_1_stats_kurt_left	9.950353033499559e-05	0.0005802745644619867
RAW_2_bartlett_pvalue_mul_RAW_1_stats_kurt_left	8.172483446186483e-05	0.0007479278542658035
RAW_1_stats_min_whole	7.683297186996116e-05	0.00043415085426281214
RAW_10_percentage_of_reoccurring_values_to_all_values_contribution_left_mul_RAW_10_quantile_0_4_whole	7.331334284111256e-05	0.00012133152754365479
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_mul_RAW_10_quantile_0_4_whole	6.574475723881035e-05	0.00014349553558127418
RAW_10_percentage_of_reoccurring_values_to_all_values_contribution_left_mul_RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_right	6.121731329204795e-05	6.333453438464966e-05
RAW_10_quantile_0_4_whole	5.978548747056058e-05	0.00028884816109901
