feature	importance
sub_RAW_8_ratio_value_number_to_time_series_length_ratio_to_whole_right_CUMSUM_4_autocorr_lag1_whole	0.07383416
sqmul_RAW_1_stats_mean_whole_RAW_3_detrend_volatility_normalized_whole	0.04519432
mul_RAW_1_stats_cv_whole_RAW_1_stats_std_whole	0.04020791
mul_RAW_3_detrend_volatility_normalized_whole_RAW_1_stats_std_whole	0.035130553
div_RAW_2_ad_stat_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left	0.030441398
mul_RAW_2_bartlett_stat_DIFF_2_jb_pvalue_left	0.026479801
div_RAW_1_stats_median_whole_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left	0.020008788
div_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_whole_RAW_8_percentage_of_reoccurring_values_to_all_values_diff	0.019728653
add_RAW_7_sample_entropy_left_CUMSUM_8_first_location_of_maximum_whole	0.018858708
div_RAW_8_ratio_value_number_to_time_series_length_whole_CUMSUM_2_ad_pvalue	0.018294502
sqmul_CUMSUM_1_stats_max_ratio_to_whole_left_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	0.017076256
div_RAW_7_sample_entropy_left_DIFF_2_jb_pvalue_left	0.016776392
sqmul_RAW_2_ks_stat_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	0.016633736
sub_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left_RAW_7_sample_entropy_left	0.016324157
sub_RAW_1_stats_std_whole_RAW_8_ratio_value_number_to_time_series_length_whole	0.014470076
sub_CUMSUM_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_whole_CUMSUM_2_ks_pvalue	0.013890581
mul_RAW_8_ratio_beyond_r_sigma_3_left_CUMSUM_1_stats_theil_sen_slope_whole	0.012888688
mul_DIFF_2_levene_pvalue_CUMSUM_3_detrend_volatility_normalized_right	0.012799022
