feature	importance
RAW_1_stats_cv_whole_mul_RAW_1_stats_std_whole	2745.6
RAW_3_cumsum_max_ratio_to_whole_left	1639.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left	1514.8
RAW_10_quantile_0_4_contribution_left	1514.4
RAW_12_rpt_cost_cosine_whole	1505.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_left	1499.8
RAW_1_stats_median_ratio	1497.2
RAW_8_sample_entropy_contribution_right	1479.0
RAW_11_param_3_right	1447.6
RAW_4_autocorr_lag1_diff	1434.2
RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_right	1429.6
RAW_10_linear_trend_attr_rvalue_ratio	1421.2
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_right	1381.0
RAW_8_sample_entropy_left	1379.4
RAW_10_quantile_0_6_ratio_to_whole_left	1377.2
RAW_8_katz_fd_whole	1320.2
f_sq_RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_left	1310.8
RAW_2_ttest_pvalue	1310.6
RAW_4_autocorr_lag1_ratio	1305.8
f_sq_RAW_1_stats_cv_whole	1297.4
RAW_8_lziv_complexity_right	1290.2
RAW_11_param_5_diff	1283.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_diff	1269.6
RAW_8_perm_entropy_left	1251.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_diff	1235.0
RAW_1_stats_median_whole	1224.0
RAW_8_sample_entropy_whole	1193.2
RAW_4_autocorr_lag1_whole	1185.2
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio	1156.6
RAW_10_fft_coefficient_attr_imag_coeff_1_whole	1151.8
RAW_1_stats_skew_right	1149.0
RAW_1_stats_min_diff	1128.6
RAW_1_stats_kurt_left	1121.6
RAW_10_linear_trend_attr_intercept_ratio	1113.6
RAW_8_sample_entropy_left_mul_RAW_2_ks_stat	1108.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_contribution_left	1090.2
RAW_10_agg_linear_trend_attr_intercept_chunk_len_50_f_agg_mean_ratio_to_whole_left	1089.8
RAW_8_perm_entropy_whole	1086.2
RAW_8_svd_entropy_ratio_to_whole_left	1076.2
RAW_10_agg_linear_trend_attr_intercept_chunk_len_10_f_agg_max_ratio_to_whole_right	1058.0
