feature	importance
mul_RAW_1_stats_cv_whole_RAW_1_stats_std_whole	1180.6
mul_RAW_3_detrend_volatility_normalized_whole_RAW_1_stats_std_whole	1095.0
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left	708.8
RAW_7_sample_entropy_left	653.4
add_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_index_mass_quantile_q_0_1_right	633.0
RAW_8_friedrich_coefficients_coeff_2_m_3_r_30_contribution_left	481.2
RAW_8_benford_correlation_ratio_to_whole_left	413.2
sub_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole	366.0
MP_1_stats_mean_of_rolling_std_ratio_to_whole_right	364.0
RAW_7_perm_entropy_left	359.2
RAW_8_quantile_0_6_ratio_to_whole_left	350.0
sqmul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left	340.8
RAW_7_approx_entropy_left	339.0
MP_8_change_quantiles_f_agg_mean_isabs_True_qh_1_0_ql_0_4_whole	336.4
CUMSUM_7_perm_entropy_whole	329.8
DIFF_7_hjorth_complexity_right	326.0
RAW_7_sample_entropy_whole	321.8
cross_mul_RAW_3_detrend_volatility_normalized_whole_RAW_2_ad_stat	319.4
RAW_8_benford_correlation_whole	316.4
div_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	315.4
DIFF_8_benford_correlation_left	313.4
MP_8_agg_linear_trend_attr_intercept_chunk_len_50_f_agg_max_ratio_to_whole_right	312.4
DIFF_9_ar_param_5_whole	310.0
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_change_quantiles_f_agg_var_isabs_True_qh_1_0_ql_0_4_contribution_left	308.0
RAW_8_benford_correlation_right	307.0
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_ar_coefficient_coeff_8_k_10_ratio_to_whole_right	298.0
RAW_8_ratio_beyond_r_sigma_1_ratio_to_whole_left	295.2
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_MP_8_change_quantiles_f_agg_mean_isabs_True_qh_1_0_ql_0_4_whole	293.2
RAW_7_higuchi_fd_ratio_to_whole_right	292.6
cross_mul_DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole_CUMSUM_3_detrend_volatility_normalized_right	287.2
DIFF_8_linear_trend_attr_rvalue_contribution_right	284.6
DIFF_8_ar_coefficient_coeff_8_k_10_left	280.2
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_DIFF_8_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_mean_whole	273.0
RAW_7_katz_fd_whole	266.6
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_RAW_10_rpt_cost_cosine_whole	259.4
CUMSUM_8_index_mass_quantile_q_0_6_ratio_to_whole_right	259.0
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_MP_1_stats_mean_of_rolling_std_ratio_to_whole_right	257.2
CUMSUM_8_ar_coefficient_coeff_0_k_10_ratio_to_whole_left	254.4
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_7_sample_entropy_left	252.0
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_10_rpt_cost_rank_left	251.4
MP_8_index_mass_quantile_q_0_1_right	244.4
RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left	243.4
cross_mul_RAW_1_stats_cv_whole_DIFF_9_ar_param_0_whole	242.8
DIFF_8_benford_correlation_whole	239.0
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_CUMSUM_9_ar_residuals_s1_pred_skew	237.8
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_CUMSUM_8_change_quantiles_f_agg_mean_isabs_True_qh_1_0_ql_0_4_ratio_to_whole_left	234.2
div_RAW_8_quantile_0_4_whole_DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole	234.2
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_DIFF_9_ar_param_5_whole	233.2
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_ratio_beyond_r_sigma_1_ratio_to_whole_left	232.0
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_RAW_7_katz_fd_whole	231.4
div_RAW_1_stats_cv_whole_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	230.8
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_MP_8_agg_linear_trend_attr_intercept_chunk_len_50_f_agg_max_ratio_to_whole_right	229.8
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_CUMSUM_8_index_mass_quantile_q_0_6_ratio_to_whole_right	229.0
cross_mul_RAW_8_quantile_0_4_whole_CUMSUM_2_ad_pvalue	225.8
CUMSUM_8_change_quantiles_f_agg_mean_isabs_True_qh_1_0_ql_0_4_ratio_to_whole_left	224.6
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_first_location_of_maximum_left	223.0
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left	222.6
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_DIFF_8_linear_trend_attr_rvalue_contribution_right	222.4
sub_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_RAW_1_stats_std_whole	222.0
div_DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	219.4
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_CUMSUM_8_ar_coefficient_coeff_0_k_10_ratio_to_whole_left	218.6
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_DIFF_9_ar_param_3_whole	218.4
cross_mul_RAW_1_stats_cv_whole_DIFF_1_stats_mean_left	217.8
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_MP_2_ks_stat	217.4
RAW_8_ratio_beyond_r_sigma_1_left	214.0
MP_2_ks_stat	212.6
CUMSUM_8_change_quantiles_f_agg_var_isabs_False_qh_0_4_ql_0_2_ratio_to_whole_left	210.8
div_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	210.6
cross_mul_RAW_3_detrend_volatility_normalized_whole_RAW_8_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_mean_ratio	210.2
cross_mul_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left_DIFF_10_rpt_cost_cosine_right	210.0
cross_mul_RAW_8_quantile_0_4_whole_RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left	208.8
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_CUMSUM_2_kpss_pvalue_ratio_to_whole_left	208.6
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_change_quantiles_f_agg_var_isabs_True_qh_1_0_ql_0_4_contribution_left	207.2
CUMSUM_8_benford_correlation_left	204.8
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left	202.2
MP_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_right	201.6
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_ratio_beyond_r_sigma_0_5_diff	201.2
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_quantile_0_6_ratio_to_whole_left	200.4
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_DIFF_8_linear_trend_attr_rvalue_contribution_right	200.2
cross_mul_RAW_3_detrend_volatility_normalized_whole_CUMSUM_8_partial_autocorrelation_lag_4_ratio_to_whole_left	198.0
MP_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_whole	197.8
div_RAW_1_stats_std_whole_RAW_8_quantile_0_4_whole	197.8
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_RAW_2_ks_stat	197.6
cross_mul_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left_RAW_8_index_mass_quantile_q_0_8_left	197.4
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_MP_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_whole	195.4
cross_mul_RAW_1_stats_cv_whole_RAW_8_agg_linear_trend_attr_slope_chunk_len_10_f_agg_mean_contribution_left	195.2
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_DIFF_8_ratio_beyond_r_sigma_1_5_whole	194.6
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_agg_linear_trend_attr_intercept_chunk_len_10_f_agg_max_ratio_to_whole_right	193.4
