feature	permutation_importance_mean	permutation_importance_std
mul_RAW_3_detrend_volatility_normalized_whole_RAW_1_stats_std_whole	0.0898584603763314	0.03215081812620983
mul_RAW_1_stats_cv_whole_RAW_1_stats_std_whole	0.07412631902506299	0.026302090970371117
RAW_7_sample_entropy_left	0.004177913511266477	0.0018990573882141663
sub_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole	0.0025310375542342183	0.0015757043723826202
add_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_index_mass_quantile_q_0_1_right	0.0018333178839170703	0.0006778061830779582
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left	0.0017648425957854873	0.0004205821960572348
cross_mul_DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole_CUMSUM_3_detrend_volatility_normalized_right	0.0016282893678683887	0.000275776160046484
cross_mul_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left_RAW_8_change_quantiles_f_agg_var_isabs_True_qh_1_0_ql_0_4_contribution_left	0.0014779970332261894	0.0022897727933540233
cross_mul_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_RAW_8_ratio_value_number_to_time_series_length_ratio_to_whole_left	0.0012197313216018978	0.0013346658055484889
div_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	0.0011987216268690814	0.0013392031714623575
cross_mul_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left_RAW_8_index_mass_quantile_q_0_8_left	0.0011983447432354977	0.0007224408858747313
cross_mul_RAW_1_stats_std_whole_DIFF_2_ks_stat	0.0011587082435195583	0.0015506939414127747
sqmul_RAW_1_stats_std_whole_RAW_3_detrend_volatility_normalized_whole	0.0010597343562248386	0.0017718550398761596
cross_mul_RAW_3_detrend_volatility_normalized_whole_RAW_2_ad_stat	0.000986128467958428	0.0010268576791745926
cross_mul_RAW_1_stats_std_whole_RAW_2_ks_stat	0.0009638753580108628	0.0013238478309316596
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_RAW_10_rpt_cost_cosine_whole	0.0008559216173631057	0.0006253759286686268
cross_mul_RAW_8_quantile_0_4_whole_CUMSUM_2_ad_pvalue	0.0007484050632441197	0.000285839244423968
sqmul_RAW_8_quantile_0_4_whole_RAW_3_detrend_volatility_normalized_whole	0.0007347628851292554	0.0009159721734651954
div_RAW_1_stats_cv_whole_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	0.0006992605424510467	0.000619725493029177
RAW_8_benford_correlation_whole	0.0006883165572329786	0.0005270875412288899
DIFF_8_benford_correlation_left	0.000625467516186784	0.00034547901024589803
sqmul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left	0.0006202877736281332	0.0002320344408139285
MP_1_stats_mean_of_rolling_std_ratio_to_whole_right	0.0006163012328859518	0.0005696499745270372
RAW_8_ratio_beyond_r_sigma_1_left	0.000570123038082475	0.0003083971983290589
RAW_7_sample_entropy_whole	0.0005504014142655211	0.0005765797909579889
cross_mul_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_DIFF_8_ar_coefficient_coeff_8_k_10_left	0.0005440326654123473	0.0006178710222093409
cross_mul_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left_DIFF_10_rpt_cost_cosine_right	0.0005390161881216981	0.000621541636416001
cross_mul_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left_DIFF_10_rpt_cost_cosine_right	0.000538010056533118	0.00024332868145445034
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_MP_8_agg_linear_trend_attr_intercept_chunk_len_50_f_agg_max_ratio_to_whole_right	0.0005281298824053171	0.0002486100578640479
add_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_RAW_1_stats_std_whole	0.0004878685521144899	0.0001427554080725113
DIFF_8_benford_correlation_whole	0.00048139688470167795	0.000378240012493994
sub_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_RAW_1_stats_std_whole	0.00046686768260317926	0.0003223235285262719
cross_mul_DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole_RAW_2_ad_stat	0.0004610099151915414	0.0004236480495715622
cross_mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4_whole	0.00045538080280711594	0.0006176109904522142
cross_mul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_ar_coefficient_coeff_8_k_10_ratio_to_whole_right	0.0004491162965194962	0.00039366533765130407
RAW_8_benford_correlation_ratio_to_whole_left	0.0004369934613332049	0.0005793625867709158
