feature	permutation_importance_mean	permutation_importance_std
sqmul_RAW_1_stats_mean_whole_RAW_3_detrend_volatility_normalized_whole	0.08965510506719074	0.026858084670323235
mul_RAW_3_detrend_volatility_normalized_whole_RAW_1_stats_std_whole	0.014633074594410567	0.01621279135922991
mul_RAW_1_stats_cv_whole_RAW_1_stats_std_whole	0.012966046969350904	0.005897612454648007
sub_RAW_8_ratio_value_number_to_time_series_length_ratio_to_whole_right_CUMSUM_4_autocorr_lag1_whole	0.0035696414910185805	0.0028415722199051445
div_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left_RAW_8_agg_linear_trend_attr_intercept_chunk_len_10_f_agg_max_ratio_to_whole_right	0.0024430594438570705	0.0012005061645218257
div_RAW_2_ad_stat_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left	0.0014939314168722717	0.0019704193672994744
div_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_whole_RAW_8_percentage_of_reoccurring_values_to_all_values_diff	0.001441689613260908	0.0013684061717888516
add_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_index_mass_quantile_q_0_1_right	0.00110362598924766	0.0008066677982995161
mul_CUMSUM_2_ad_pvalue_DIFF_8_change_quantiles_f_agg_var_isabs_True_qh_0_4_ql_0_2_whole	0.001064996420750247	0.0003838942160859303
div_RAW_8_ratio_value_number_to_time_series_length_whole_CUMSUM_2_ad_pvalue	0.001032433893270186	0.0003475725722902264
div_RAW_1_stats_median_right_CUMSUM_1_stats_max_diff	0.0009260194453085902	0.0005925992467552124
mul_RAW_2_bartlett_stat_DIFF_2_jb_pvalue_left	0.0007724526790811048	0.00020092082036752364
sqmul_CUMSUM_1_stats_max_ratio_to_whole_left_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	0.0007261562009209166	0.0006677491393349048
mul_RAW_8_ratio_beyond_r_sigma_3_left_CUMSUM_1_stats_theil_sen_slope_whole	0.0006099911290545202	0.0013364945673764344
mul_RAW_8_ratio_beyond_r_sigma_3_left_CUMSUM_1_stats_max_diff	0.0005447115938797541	0.000866845546614604
div_RAW_8_agg_linear_trend_attr_intercept_chunk_len_10_f_agg_max_ratio_to_whole_right_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left	0.0004942901179912928	0.0003619594845268022
div_RAW_7_sample_entropy_left_DIFF_2_jb_pvalue_left	0.0004469834358117996	0.0002035155735537898
mul_RAW_8_agg_linear_trend_attr_slope_chunk_len_10_f_agg_mean_contribution_left_CUMSUM_1_stats_max_diff	0.0004215214997234318	0.00019498083693918317
sqmul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_quantile_0_4_contribution_left	0.00040846849034248514	0.0004900920104800056
sub_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left_RAW_7_sample_entropy_left	0.0003987266685548119	0.0004058847099670908
add_RAW_7_sample_entropy_left_CUMSUM_8_first_location_of_maximum_whole	0.0003834798870227407	0.0002830374173749149
sub_DIFF_7_hjorth_complexity_contribution_right_RAW_7_higuchi_fd_contribution_right	0.00037183436500032644	0.00022753789977887878
div_RAW_1_stats_median_whole_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left	0.0003565725925451324	0.00036808886795696095
div_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left_RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_whole	0.0003475428425828231	0.00025848055983459075
div_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	0.0003403206949895243	0.0008406632361018535
sqmul_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left_RAW_8_index_mass_quantile_q_0_1_right	0.0003354811720478601	0.00013152273298945805
div_RAW_8_benford_correlation_whole_CUMSUM_2_ad_pvalue	0.0003349377041660884	0.00035108302834883774
div_CUMSUM_8_ar_coefficient_coeff_2_k_10_ratio_RAW_1_stats_kurt_left	0.0003290591154080858	0.00021932239881416
sqmul_RAW_7_sample_entropy_left_RAW_8_count_above_0_whole	0.00032820183600967606	0.0003914155306763444
mul_CUMSUM_2_wilcoxon_stat_RAW_8_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4_ratio_to_whole_right	0.00032253616672373806	0.00014047171375432466
add_RAW_8_ratio_beyond_r_sigma_3_left_DIFF_7_hjorth_complexity_ratio_to_whole_right	0.0002951486330827002	0.0002122660519119177
sqmul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left	0.0002900060387925563	0.00014203296177684894
add_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_index_mass_quantile_q_0_8_left	0.0002795845396871588	0.00021439668816902431
sqmul_RAW_8_linear_trend_attr_pvalue_ratio_to_whole_left_CUMSUM_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_ratio_to_whole_right	0.0002731149519353981	0.000287701824637019
add_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left	0.0002644871802539317	0.0002806707242953329
div_DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole_DIFF_8_change_quantiles_f_agg_var_isabs_True_qh_0_4_ql_0_2_whole	0.00023430662920877806	0.00021152676334907527
div_RAW_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_2_diff_CUMSUM_9_ar_residuals_s1_pred_mean	0.00023408829971967472	0.00019820650724307746
div_RAW_1_stats_min_whole_CUMSUM_8_friedrich_coefficients_coeff_3_m_3_r_30_ratio_to_whole_left	0.00022776915925857622	0.0003954166277763166
sub_CUMSUM_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_whole_CUMSUM_2_ks_pvalue	0.00022311644344558565	0.00016628430758135318
add_DIFF_2_bartlett_pvalue_DIFF_8_ar_coefficient_coeff_2_k_10_left	0.0002196403477023645	0.0002484905776376774
sub_RAW_1_stats_std_whole_RAW_8_ratio_value_number_to_time_series_length_whole	0.0002127610122108203	0.00024124232097246393
mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_ratio_value_number_to_time_series_length_ratio_to_whole_left	0.00020866311980097694	0.00029868279691358735
div_RAW_3_detrend_volatility_normalized_whole_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left	0.00019390911214549724	0.0002741321032883197
sqmul_RAW_2_ks_stat_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	0.0001801202109584854	9.672044797175723e-05
mul_RAW_8_index_mass_quantile_q_0_1_right_RAW_10_rpt_cost_cosine_whole	0.00017834071592187973	0.00015560891523068798
mul_RAW_10_rpt_cost_cosine_whole_RAW_1_stats_median_ratio	0.00017806021047868994	0.00015976628389250934
div_RAW_2_bartlett_stat_CUMSUM_7_cond_entropy_whole	0.00017621700974702838	0.0003501684679533934
div_RAW_1_stats_mean_whole_RAW_8_ratio_beyond_r_sigma_3_left	0.00017188564504140973	0.0005370375217750505
div_RAW_8_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_2_whole_RAW_1_stats_min_whole	0.00017121110517638095	0.00013426779548628002
CUMSUM_8_benford_correlation_left	0.00016715444613495722	5.728707675426942e-05
sqmul_CUMSUM_3_detrend_volatility_normalized_right_RAW_8_quantile_0_4_right	0.00016557845430525186	6.751059192572841e-05
div_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left_CUMSUM_5_dominant_freq_ratio_to_whole_right	0.0001623548762513749	0.00033250880846383637
DIFF_7_spectral_entropy_ratio_to_whole_left	0.00016177620932221636	0.00010970362391210819
div_RAW_7_approx_entropy_left_CUMSUM_2_ad_pvalue	0.00015914342821615523	0.00017281651205720055
div_RAW_7_sample_entropy_left_RAW_8_ratio_beyond_r_sigma_1_left	0.00015796836347560015	0.00018902687641331908
div_RAW_7_sample_entropy_whole_RAW_8_ratio_beyond_r_sigma_1_5_whole	0.0001547313655393645	9.5306292288959e-05
