feature	importance
mul_RAW_1_stats_cv_whole_RAW_1_stats_std_whole	2029.2
add_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_index_mass_quantile_q_0_1_right	1070.8
RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left	858.6
sqmul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left	679.0
RAW_3_cumsum_max_ratio_to_whole_left	640.0
RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left	632.6
RAW_8_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_left	614.6
RAW_1_stats_median_ratio	612.0
RAW_8_quantile_0_4_ratio_to_whole_left	572.8
RAW_5_dominant_freq_right	537.2
div_RAW_7_sample_entropy_left_RAW_3_cumsum_linear_trend_pvalue_whole	520.2
RAW_7_perm_entropy_left	506.4
RAW_2_ttest_pvalue	497.6
RAW_2_ks_stat	489.6
RAW_8_first_location_of_maximum_left	489.2
RAW_8_index_mass_quantile_q_0_6_right	486.2
RAW_9_ar_param_5_diff	480.2
RAW_2_kpss_stat_whole	476.4
RAW_8_linear_trend_attr_rvalue_ratio	470.6
RAW_8_benford_correlation_ratio_to_whole_left	465.2
RAW_7_lziv_complexity_right	458.2
RAW_8_ratio_beyond_r_sigma_1_ratio_to_whole_left	457.0
RAW_7_higuchi_fd_ratio_to_whole_right	453.2
RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_diff	449.4
RAW_8_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_right	447.6
RAW_10_rpt_cost_cosine_whole	446.0
RAW_4_autocorr_lag1_diff	439.2
RAW_2_adf_stat_left	437.2
RAW_9_ar_param_3_right	432.0
RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_contribution_left	425.2
RAW_2_ad_stat	422.0
RAW_8_friedrich_coefficients_coeff_2_m_3_r_30_ratio	421.0
RAW_2_bartlett_stat	421.0
