feature	importance
RAW_1_stats_cv_whole_mul_RAW_1_stats_std_whole	2329.0
RAW_3_cumsum_max_ratio_to_whole_left	1154.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left	1101.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_right	1026.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_left	1008.2
RAW_10_quantile_0_4_ratio_to_whole_left	996.2
RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_right	989.8
RAW_8_sample_entropy_diff	983.4
RAW_8_sample_entropy_left	971.6
RAW_10_linear_trend_attr_rvalue_ratio	950.4
RAW_12_rpt_cost_rank_left	935.0
RAW_8_higuchi_fd_ratio_to_whole_left	928.4
RAW_4_autocorr_lag1_diff	927.8
RAW_1_stats_median_ratio	919.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio	910.4
RAW_4_autocorr_lag1_ratio	896.6
RAW_8_lziv_complexity_right	865.2
RAW_13_robust_log_cv_right	851.6
RAW_10_quantile_0_1_ratio	848.0
RAW_10_quantile_0_6_ratio_to_whole_left	834.8
RAW_11_param_5_diff	831.8
RAW_10_fft_coefficient_attr_imag_coeff_2_ratio_to_whole_left	819.0
RAW_10_linear_trend_attr_rvalue_diff	810.6
RAW_1_stats_cv_whole	809.2
RAW_12_rpt_cost_cosine_whole	808.4
RAW_10_fft_coefficient_attr_imag_coeff_1_whole	774.4
RAW_8_perm_entropy_left	774.4
RAW_1_stats_median_contribution_right	771.6
RAW_8_sample_entropy_left_mul_RAW_2_ks_stat	765.2
RAW_10_ar_coefficient_coeff_2_k_10_right	764.0
RAW_8_sample_entropy_whole	753.6
RAW_13_robust_log_cv_whole	749.6
RAW_8_perm_entropy_whole	747.8
RAW_13_robust_log_cv_left	730.0
RAW_10_ratio_beyond_r_sigma_1_5_diff	729.6
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_1_0_ql_0_4_contribution_left	729.0
RAW_13_robust_quartile_cv_whole	725.0
RAW_10_linear_trend_attr_intercept_ratio	717.4
RAW_10_linear_trend_attr_rvalue_ratio_to_whole_right	717.0
RAW_1_stats_median_whole	711.6
RAW_8_katz_fd_whole	692.2
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_diff	690.4
RAW_8_svd_entropy_ratio_to_whole_left	687.2
RAW_10_agg_linear_trend_attr_intercept_chunk_len_10_f_agg_max_ratio_to_whole_right	686.0
RAW_10_fft_coefficient_attr_imag_coeff_1_left	683.2
RAW_1_stats_min_diff	680.6
RAW_8_approx_entropy_left	663.8
RAW_10_agg_linear_trend_attr_intercept_chunk_len_50_f_agg_mean_ratio_to_whole_left	662.8
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_ratio	662.6
RAW_2_ad_stat	659.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_diff	651.4
RAW_8_spectral_entropy_left	622.2
RAW_1_stats_mean_right	602.6
RAW_13_robust_log_cv_ratio	600.6
RAW_10_linear_trend_attr_intercept_contribution_left	596.2
RAW_10_partial_autocorrelation_lag_2_whole	590.8
RAW_2_bartlett_pvalue_mul_RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_left	589.8
RAW_1_stats_mean_whole	587.8
RAW_11_param_0_ratio_to_whole_right	587.8
RAW_2_levene_stat	579.0
RAW_2_adf_icbest_left	574.8
RAW_13_robust_mad_cv_whole	563.0
RAW_10_ratio_beyond_r_sigma_1_5_ratio	557.0
RAW_10_quantile_0_6_diff	554.6
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_max_diff	551.6
RAW_1_stats_kurt_left	549.8
RAW_1_stats_kurt_whole	546.6
RAW_10_ar_coefficient_coeff_2_k_10_left	542.8
RAW_1_stats_cv_whole_mul_RAW_2_ks_stat	538.8
RAW_2_jb_pvalue_ratio	537.8
RAW_10_linear_trend_attr_intercept_ratio_to_whole_left	528.4
RAW_1_stats_cv_whole_mul_RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_left	523.6
RAW_1_stats_cv_ratio_to_whole_left	513.6
