feature	permutation_importance_mean	permutation_importance_std
RAW_1_stats_cv_whole_mul_RAW_1_stats_std_whole	0.25410901674730785	0.01186080555778402
RAW_1_stats_cv_whole	0.010062390733754405	0.001577824696761909
RAW_8_sample_entropy_left	0.006117411146977248	0.0010446524668494147
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	0.004690777928568203	0.003930103277786275
RAW_10_percentage_of_reoccurring_values_to_all_values_contribution_left	0.0027640155553594913	0.0016628456169731436
RAW_1_stats_mean_whole	0.0023273885382458425	0.0012154339284621367
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	0.0023113562645698483	0.0017771199925122488
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left	0.002126477996935714	0.0008989679557046083
RAW_10_fft_coefficient_attr_imag_coeff_1_whole	0.0019103721761649817	0.0003609172924225192
RAW_3_cumsum_max_ratio_to_whole_left	0.0016743482963490319	0.0009727493205529801
RAW_8_sample_entropy_left_mul_RAW_2_ks_stat	0.0016680920492984854	0.0013483065099791493
RAW_10_quantile_0_4_ratio_to_whole_left	0.001605313320675561	0.0006166052742197016
RAW_1_stats_cv_whole_mul_RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	0.0015900995936111596	0.00251182567069763
RAW_11_param_0_whole	0.0015704808667779836	0.0013702794629790595
RAW_8_sample_entropy_whole	0.0015653239143490916	0.0008602156007235066
RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_right	0.0015091091359559184	0.00047086076840525157
RAW_10_quantile_0_6_ratio_to_whole_left	0.0014619500508182804	0.0009366301912968697
RAW_10_quantile_0_1_ratio	0.0013828605918431536	0.0007102037891936312
RAW_2_ad_stat	0.0012996379255360492	0.0013068887665018145
RAW_4_autocorr_lag1_diff	0.0012233033542884363	0.0004811835530718719
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_ratio	0.0012182657327482814	0.0006330572513122657
RAW_10_ratio_value_number_to_time_series_length_ratio_to_whole_left	0.001193941282275971	0.0005292201592033299
RAW_2_levene_stat	0.0010398498337239035	0.0007233496879681165
RAW_1_stats_median_whole	0.0010390874754832868	0.00044889764065079546
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio	0.0010065215165874618	0.0005154311526328
RAW_1_stats_cv_whole_mul_RAW_10_percentage_of_reoccurring_values_to_all_values_contribution_left	0.0010011075098486412	0.0012544070624704083
RAW_8_sample_entropy_diff	0.000991664789155485	0.0004930820889268042
RAW_10_percentage_of_reoccurring_values_to_all_values_contribution_left_mul_RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	0.0009489846525670097	0.0015326605777200991
RAW_2_ad_pvalue	0.0009443522280217808	0.0007605959981699692
RAW_1_stats_median_ratio	0.0009313831859000477	0.0007391647086891288
RAW_1_stats_kurt_whole	0.0009308342169798445	0.0011806838630629493
RAW_2_levene_pvalue	0.0009086172518611435	0.0005828759560913626
RAW_10_linear_trend_attr_intercept_ratio	0.0008843403567369545	0.0005699854541065741
RAW_1_stats_kurt_left	0.0008717628832149683	0.0004145029935147938
RAW_10_linear_trend_attr_rvalue_ratio	0.0008698857303095841	0.00027403840630356614
RAW_2_bartlett_pvalue	0.000852151585917895	0.0010390652924167436
RAW_12_rpt_cost_rank_left	0.000845679152444131	0.0008738393225590513
RAW_2_bartlett_pvalue_mul_RAW_10_quantile_0_4_whole	0.0008420450119262324	0.0005772102196636556
