feature	importance
cv_diff	651.4
percentage_of_reoccurring_datapoints_to_all_datapoints	617.6
percentage_of_reoccurring_values_to_all_values	558.0
perm_entropy_0	549.8
sample_entropy_0	493.4
ks_stat	481.8
cond_entropy_0	471.2
ar_residuals_s2_pred_std	463.8
bartlett_stat	441.8
ad_stat	414.6
ratio_beyond_r_sigma_1_5	402.0
autocorr_lag1_diff	378.4
mannwhitney_pvalue	352.4
higuchi_fd_diff	350.0
cond_entropy_diff	343.6
ttest_pvalue	342.8
ar_residuals_s1_pred_kurt	340.2
param_5_diff	333.8
ratio_value_number_to_time_series_length	330.0
sample_entropy_1	320.2
agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_	317.6
fft_coefficient_attr_imag_coeff_2	314.2
median_diff	303.0
perm_entropy_1	299.2
wilcoxon_stat	292.2
ks_pvalue	290.2
sample_entropy_diff	289.8
fft_coefficient_attr_imag_coeff_3	288.2
ar_residuals_s2_pred_skew	288.0
kpss_stat_diff	282.8
hjorth_complexity_diff	278.2
agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_	273.2
agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_	264.2
levene_stat	262.4
lziv_complexity_1	259.4
ar_residuals_s2_pred_kurt	257.0
quantile_0_6	253.4
lziv_complexity_0	244.6
approx_entropy_0	243.6
min_diff	243.0
fft_coefficient_attr_imag_coeff_1	242.2
katz_fd_diff	241.4
bartlett_pvalue	238.4
param_3_diff	233.0
quantile_0_4	233.0
ar_residuals_s1_pred_skew	230.8
linear_trend_attr_rvalue_	223.2
agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_mean_	220.6
ratio_beyond_r_sigma_6	220.0
param_0_diff	217.2
agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_max_	206.6
last_location_of_maximum	202.6
adf_stat_diff	202.2
levene_pvalue	196.4
ar_coefficient_coeff_2_k_10	196.2
sum_diff	189.8
shapiro_pvalue_1	188.4
dominant_freq_diff	183.8
max_power_diff	183.0
param_4_diff	183.0
theil_sen_slope_diff	182.6
adf_icbest_diff	182.0
spectral_entropy_0	180.6
skew_diff	180.4
partial_autocorrelation_lag_2	177.6
agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_mean_	177.2
change_quantiles_f_agg_var_isabs_True_qh_0_4_ql_0_2	174.6
svd_entropy_diff	173.8
cond_entropy_1	172.4
svd_entropy_1	167.2
hjorth_mobility_1	166.4
shapiro_pvalue_0	165.4
svd_entropy_0	164.2
lziv_complexity_diff	164.2
range_diff	163.8
shannon_entropy_0	163.6
change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4	162.8
quantile_0_1	160.4
shapiro_pvalue_diff	157.6
max_diff	157.4
agg_linear_trend_attr_intercept_chunk_len_5_f_agg_max_	155.0
mean_diff	152.8
petrosian_fd_diff	150.8
ad_pvalue	148.8
approx_entropy_diff	148.2
change_quantiles_f_agg_var_isabs_False_qh_0_4_ql_0_2	147.4
hjorth_mobility_0	145.6
kurt_diff	145.4
hjorth_complexity_1	144.8
agg_linear_trend_attr_intercept_chunk_len_10_f_agg_max_	141.6
change_quantiles_f_agg_mean_isabs_True_qh_0_6_ql_0_4	141.2
std_ratio	136.8
perm_entropy_diff	134.8
detrended_fluctuation_diff	133.2
agg_linear_trend_attr_intercept_chunk_len_50_f_agg_mean_	131.6
approx_entropy_1	131.0
shannon_entropy_1	130.4
hjorth_complexity_0	129.8
agg_linear_trend_attr_intercept_chunk_len_50_f_agg_max_	129.4
jb_pvalue_0	128.8
change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4	128.0
change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_2	126.6
first_location_of_maximum	123.8
cumsum_max_diff	118.4
agg_linear_trend_attr_slope_chunk_len_50_f_agg_mean_	117.4
spectral_entropy_1	116.2
change_quantiles_f_agg_mean_isabs_True_qh_1_0_ql_0_4	113.6
num_zerocross_1	113.0
linear_trend_attr_intercept_	111.4
change_quantiles_f_agg_var_isabs_True_qh_0_8_ql_0_6	109.8
num_zerocross_0	107.8
adf_pvalue_1	105.0
spectral_entropy_diff	104.4
zero_cross_diff	103.6
change_quantiles_f_agg_var_isabs_False_qh_1_0_ql_0_2	103.6
agg_linear_trend_attr_intercept_chunk_len_10_f_agg_mean_	103.4
mannwhitney_stat	101.0
change_quantiles_f_agg_var_isabs_True_qh_1_0_ql_0_4	97.6
change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_2	97.2
iqr_diff	96.4
shannon_entropy_diff	95.6
change_quantiles_f_agg_var_isabs_True_qh_0_8_ql_0_2	95.0
change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0	94.6
adf_pvalue_diff	94.4
rolling_std_diff	93.2
change_quantiles_f_agg_var_isabs_True_qh_1_0_ql_0_2	90.0
change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4	89.8
agg_linear_trend_attr_slope_chunk_len_10_f_agg_mean_	88.0
change_quantiles_f_agg_var_isabs_False_qh_1_0_ql_0_4	84.8
agg_linear_trend_attr_slope_chunk_len_5_f_agg_mean_	81.8
linear_trend_attr_slope_	81.0
wilcoxon_pvalue	80.6
change_quantiles_f_agg_var_isabs_True_qh_0_8_ql_0_4	80.6
adf_pvalue_0	77.6
