feature	importance
RAW_1_stats_cv_mul_std_whole	1940.4
RAW_7_sample_entropy_left	633.6
RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left	528.6
RAW_8_index_mass_quantile_q_0_1_right	512.4
RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left	446.0
RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	394.0
RAW_1_stats_cv_whole	375.0
RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	342.4
RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left	333.2
RAW_2_ad_stat	301.4
RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left	295.2
RAW_3_detrend_volatility_normalized_whole	293.6
RAW_1_stats_median_ratio	283.8
RAW_7_sample_entropy_whole	268.6
RAW_2_bartlett_stat	264.2
DIFF_2_levene_pvalue	263.0
CUMSUM_8_partial_autocorrelation_lag_2_ratio_to_whole_left	253.6
RAW_2_ks_stat	253.4
RAW_8_ratio_value_number_to_time_series_length_ratio_to_whole_left	252.6
DIFF_2_bartlett_pvalue	243.8
RAW_8_count_above_0_whole	242.0
RAW_10_rpt_cost_cosine_whole	240.4
RAW_2_ks_pvalue	239.0
RAW_8_benford_correlation_ratio_to_whole_left	236.8
RAW_8_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_left	233.0
CUMSUM_5_dominant_freq_ratio_to_whole_right	232.6
RAW_8_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_2_whole	231.0
CUMSUM_3_detrend_volatility_normalized_ratio	228.8
CUMSUM_2_kpss_pvalue_ratio_to_whole_left	225.6
RAW_6_iqr_ratio_to_whole_right	220.4
RAW_8_benford_correlation_whole	220.4
CUMSUM_8_partial_autocorrelation_lag_4_ratio_to_whole_left	216.2
RAW_8_quantile_0_6_ratio_to_whole_left	214.8
RAW_8_ar_coefficient_coeff_8_k_10_ratio_to_whole_right	209.4
RAW_7_sample_entropy_right	205.2
DIFF_7_spectral_entropy_ratio_to_whole_left	204.2
DIFF_8_linear_trend_attr_intercept_contribution_right	202.2
RAW_2_levene_stat	190.4
CUMSUM_8_change_quantiles_f_agg_var_isabs_True_qh_0_8_ql_0_6_ratio_to_whole_left	186.6
DIFF_2_ks_stat	186.6
RAW_8_friedrich_coefficients_coeff_2_m_3_r_30_ratio_to_whole_right	185.4
CUMSUM_7_perm_entropy_whole	184.4
RAW_8_index_mass_quantile_q_0_8_left	183.2
DIFF_8_fft_coefficient_attr_imag_coeff_3_ratio	180.8
RAW_8_index_mass_quantile_q_0_1_diff	180.0
RAW_8_ratio_beyond_r_sigma_1_left	175.0
RAW_8_change_quantiles_f_agg_var_isabs_True_qh_0_8_ql_0_2_ratio_to_whole_left	174.8
DIFF_1_stats_mean_contribution_right	174.8
CUMSUM_7_hjorth_complexity_whole	174.2
RAW_8_quantile_0_4_whole	173.0
RAW_8_quantile_0_6_ratio	171.6
DIFF_8_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_mean_whole	170.6
CUMSUM_2_kpss_stat_ratio_to_whole_left	170.6
CUMSUM_2_ad_pvalue	170.2
CUMSUM_8_change_quantiles_f_agg_var_isabs_False_qh_0_4_ql_0_2_ratio_to_whole_left	168.6
RAW_2_levene_pvalue	168.0
CUMSUM_1_stats_theil_sen_slope_whole	167.4
