feature	permutation_importance_mean	permutation_importance_std
RAW_1_stats_cv_whole	0.042126492820939804	0.004693764875547195
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	0.017986387540996684	0.008315455694626493
RAW_10_percentage_of_reoccurring_values_to_all_values_contribution_left	0.015964338570021074	0.007853531797032715
RAW_1_stats_std_whole	0.008695142626029068	0.00223677692828954
RAW_8_sample_entropy_left	0.007920735329277156	0.0010692367104223773
RAW_2_ks_stat	0.007145034974908507	0.003061903898626742
RAW_10_quantile_0_6_ratio_to_whole_left	0.004701529829887688	0.0012845503482481555
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_diff	0.004659319843289026	0.0006498521384479345
RAW_10_quantile_0_4_whole	0.004600998799784066	0.002300585073758544
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio	0.00450155529967697	0.0033392055761994324
RAW_2_ad_stat	0.004388156745196466	0.0029248208268553067
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	0.0043667569735089925	0.002837865597276568
RAW_2_bartlett_pvalue	0.00417290828732044	0.004146170843860743
RAW_1_stats_mean_right	0.003707515581514012	0.0014300305500566284
RAW_10_fft_coefficient_attr_imag_coeff_1_whole	0.0036339094045601227	0.0016593627709049021
RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_right	0.0035079082616131956	0.0006293597253767613
RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_left	0.003433341787581569	0.0010597718832680493
RAW_10_ratio_beyond_r_sigma_1_5_diff	0.003284647407299597	0.0010225961067861482
RAW_1_stats_kurt_left	0.0030462740961906473	0.0007691030838944252
RAW_10_ratio_value_number_to_time_series_length_ratio_to_whole_left	0.003043204328250138	0.0008484832245400387
RAW_12_rpt_cost_cosine_whole	0.003037077857881074	0.0014703943651377775
RAW_8_sample_entropy_whole	0.002904925627688164	0.0007344250267423614
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_whole	0.0028075169991244944	0.0015902588581738343
RAW_1_stats_median_ratio	0.002759927597226721	0.0011285531507183662
RAW_10_quantile_0_4_right	0.0025952016747319163	0.0007657774473074836
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_right	0.002558289240423019	0.001093697588367385
