feature	importance
RAW_10_index_mass_quantile_q_0_8_ratio_to_whole_left	494.8
RAW_1_stats_cv_whole	441.8
RAW_10_percentage_of_reoccurring_values_to_all_values_contribution_left	288.2
RAW_7_sample_entropy_left	284.0
RAW_11_energy_ratio_by_chunks_num_segments_20_segment_focus_0_right	281.2
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	280.0
RAW_3_detrend_volatility_normalized_whole	258.4
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	257.6
RAW_2_ad_stat	257.4
RAW_11_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left	246.8
DIFF_2_levene_pvalue	241.4
RAW_1_stats_median_ratio	193.4
RAW_2_bartlett_stat	190.6
DIFF_2_bartlett_pvalue	188.8
RAW_9_rpt_cost_cosine_whole	181.0
RAW_2_ks_stat	179.4
CUMSUM_10_partial_autocorrelation_lag_4_ratio_to_whole_left	175.4
RAW_10_ratio_value_number_to_time_series_length_ratio_to_whole_left	167.2
RAW_11_fft_coefficient_attr_angle_coeff_2_whole	164.0
RAW_10_quantile_0_4_whole	156.6
RAW_11_energy_ratio_by_chunks_num_segments_10_segment_focus_0_right	147.4
CUMSUM_11_cwt_coefficients_coeff_0_w_5_widths_2_5_10_20_ratio	146.4
DIFF_11_energy_ratio_by_chunks_num_segments_20_segment_focus_0_right	141.8
CUMSUM_2_ad_pvalue	141.4
RAW_10_benford_correlation_ratio_to_whole_left	140.2
RAW_10_benford_correlation_whole	133.8
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio_to_whole_right	132.0
DIFF_11_change_quantiles_ql_0_4_qh_1_0_isabs_False_f_agg_mean_ratio	131.0
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio	129.0
DIFF_10_benford_correlation_left	128.4
DIFF_11_fft_coefficient_attr_angle_coeff_1_right	125.6
RAW_10_index_mass_quantile_q_0_1_right	125.4
RAW_8_ar_param_8_ratio_to_whole_right	124.4
RAW_2_ks_pvalue	124.0
CUMSUM_10_friedrich_coefficients_coeff_3_m_3_r_30_ratio_to_whole_left	123.2
RAW_9_rpt_cost_rank_left	123.2
RAW_2_levene_stat	122.8
DIFF_2_ks_stat	119.0
CUMSUM_5_dominant_freq_ratio_to_whole_right	117.6
RAW_10_index_mass_quantile_q_0_8_left	117.4
DIFF_11_change_quantiles_ql_0_0_qh_0_4_isabs_False_f_agg_mean_ratio	116.8
RAW_2_bartlett_pvalue	116.4
DIFF_11_change_quantiles_ql_0_2_qh_1_0_isabs_False_f_agg_mean_ratio	114.6
CUMSUM_2_kpss_pvalue_ratio_to_whole_left	112.6
