feature	importance
RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left	697.2
RAW_8_index_mass_quantile_q_0_1_right	612.0
RAW_1_stats_cv_whole	467.0
RAW_7_sample_entropy_left	452.0
RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left	434.2
RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left	396.0
RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	394.0
RAW_8_quantile_0_4_whole	362.6
RAW_2_ad_stat	351.0
RAW_1_stats_std_whole	332.6
RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	321.4
DIFF_2_levene_pvalue	316.0
RAW_3_detrend_volatility_normalized_whole	312.2
ASINH_1_stats_cv_whole	309.6
RAW_1_stats_median_ratio	307.4
DIFF_2_bartlett_pvalue	303.2
RAW_8_agg_linear_trend_attr_slope_chunk_len_10_f_agg_mean_contribution_left	296.2
RAW_10_rpt_cost_cosine_whole	292.4
RAW_8_benford_correlation_ratio_to_whole_left	281.2
DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole	280.4
CUMSUM_8_change_quantiles_f_agg_mean_isabs_True_qh_1_0_ql_0_4_ratio_to_whole_left	277.6
RAW_8_ratio_beyond_r_sigma_0_5_diff	271.8
CUMSUM_9_ar_residuals_s1_pred_skew	269.6
DIFF_8_benford_correlation_left	267.2
CUMSUM_8_partial_autocorrelation_lag_4_ratio_to_whole_left	267.0
CUMSUM_3_detrend_volatility_normalized_ratio	261.2
RAW_2_bartlett_stat	260.2
RAW_8_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_2_whole	257.2
RAW_8_benford_correlation_whole	255.8
CUMSUM_1_stats_max_diff	254.8
RAW_2_ks_stat	253.6
RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_diff	252.8
RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left	251.4
DIFF_8_fft_coefficient_attr_imag_coeff_3_ratio	250.0
CUMSUM_5_dominant_freq_ratio_to_whole_right	247.8
CUMSUM_9_ar_param_5_contribution_left	246.8
RAW_8_quantile_0_4_ratio_to_whole_left	245.4
DIFF_8_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_mean_whole	242.0
RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_contribution_left	239.8
ASINH_10_rpt_cost_ar_whole	239.0
CUMSUM_8_friedrich_coefficients_coeff_2_m_3_r_30_ratio	238.8
RAW_7_lziv_complexity_right	238.4
ASINH_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_ratio_to_whole_right	238.0
ASINH_8_ar_coefficient_coeff_8_k_10_ratio_to_whole_right	237.4
DIFF_9_ar_param_5_right	236.6
RAW_8_quantile_0_6_ratio_to_whole_left	232.4
DIFF_8_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_ratio_to_whole_left	226.4
RAW_8_ratio_value_number_to_time_series_length_ratio_to_whole_left	224.2
DIFF_8_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_left	222.2
DIFF_8_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_ratio_to_whole_right	221.4
