feature	permutation_importance_mean	permutation_importance_std
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	0.01639352322366284	0.01089737433526662
RAW_10_percentage_of_reoccurring_values_to_all_values_contribution_left	0.014997878314402436	0.0040336112138631385
RAW_10_index_mass_quantile_q_0_8_ratio_to_whole_left	0.009745430067376302	0.0017067784347090905
RAW_1_stats_cv_whole	0.00882328264053282	0.00308666186698023
RAW_1_stats_std_whole	0.005099056901805847	0.000797647885395582
RAW_3_detrend_volatility_normalized_whole	0.004276179799554739	0.002089640853417404
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	0.0038063235491943735	0.002545330270045463
RAW_7_sample_entropy_left	0.0037453305464782254	0.0014503129559707143
RAW_10_quantile_0_4_whole	0.0035219293655883005	0.002314456417209155
CUMSUM_2_ad_pvalue	0.0034486726115503614	0.000932912939937616
RAW_11_energy_ratio_by_chunks_num_segments_20_segment_focus_0_right	0.00282664010416917	0.00065644821058047
DIFF_11_change_quantiles_ql_0_4_qh_0_6_isabs_False_f_agg_var_whole	0.002729305241681764	0.0015869917399892344
RAW_10_ratio_value_number_to_time_series_length_ratio_to_whole_left	0.0025044937142778495	0.0013545274794704023
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio	0.0024896641147542546	0.0019149674800388481
DIFF_2_levene_pvalue	0.0019919403580249866	0.0019391876271830971
RAW_2_ks_stat	0.001843340187176383	0.001098083467776125
RAW_10_ratio_beyond_r_sigma_1_left	0.0014650973720468907	0.000975280521431108
RAW_2_ad_stat	0.0014613859025094243	0.0018478611930457887
RAW_11_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left	0.001453767028507693	0.0005987681993778559
CUMSUM_3_detrend_volatility_normalized_right	0.0014247405761896837	0.0005524936983827793
DIFF_7_cond_entropy_left	0.0013585744645542054	0.0008112344441726493
RAW_10_index_mass_quantile_q_0_1_right	0.0013381396797272813	0.0009516482604162076
RAW_10_benford_correlation_whole	0.0012828304601069096	0.000678946051212872
RAW_11_change_quantiles_ql_0_2_qh_0_6_isabs_True_f_agg_var_whole	0.0012691319691776914	0.0008191329131543198
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio_to_whole_right	0.0011894877899756118	0.0005545336660245879
CUMSUM_11_change_quantiles_ql_0_0_qh_0_2_isabs_True_f_agg_mean_whole	0.0011363921218028174	0.0002040926894599067
RAW_10_ratio_value_number_to_time_series_length_whole	0.0011005982626096922	0.000594062139836195
DIFF_10_benford_correlation_left	0.001062586763444534	0.0006169685311805108
RAW_11_change_quantiles_ql_0_4_qh_0_6_isabs_True_f_agg_var_whole	0.0010415502866492044	0.0012629488849328655
RAW_7_approx_entropy_left	0.0010359980430481742	0.0010262963597633319
RAW_10_quantile_0_1_ratio_to_whole_right	0.0010211258408967928	0.0014334329781212707
DIFF_2_bartlett_pvalue	0.0010152382708743688	0.0007755315461694157
RAW_11_energy_ratio_by_chunks_num_segments_10_segment_focus_0_right	0.0010087227680256018	0.00036008298225688923
RAW_1_stats_min_whole	0.0010081210088751346	0.000827156552976272
DIFF_11_energy_ratio_by_chunks_num_segments_20_segment_focus_0_right	0.0010063179916577224	0.0005577874438849713
CUMSUM_2_kpss_pvalue_ratio_to_whole_left	0.0009743908734103045	0.0006950322449830676
RAW_10_percentage_of_reoccurring_values_to_all_values_diff	0.000951904993617313	0.0010126842366608925
RAW_9_rpt_cost_cosine_whole	0.0009493291323600583	0.0009958003046530827
CUMSUM_11_change_quantiles_ql_0_6_qh_1_0_isabs_False_f_agg_mean_right	0.0009022421281615278	0.0003653514224626409
CUMSUM_10_partial_autocorrelation_lag_4_ratio_to_whole_left	0.0008573943782974623	0.0006580348613850119
RAW_11_change_quantiles_ql_0_4_qh_1_0_isabs_True_f_agg_mean_ratio	0.0008539478676572955	0.0006251745590250782
DIFF_10_benford_correlation_whole	0.0008182115843928539	0.000684317846230228
