feature	importance
RAW_8_index_mass_quantile_q_0_1_right	2191.8
RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left	2025.4
RAW_2_ad_stat	1991.6
RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left	1733.2
CUMSUM_8_change_quantiles_f_agg_mean_isabs_True_qh_1_0_ql_0_4_ratio_to_whole_left	1680.6
RAW_8_change_quantiles_f_agg_var_isabs_True_qh_1_0_ql_0_4_contribution_left	1602.0
RAW_1_stats_cv_whole	1599.6
RAW_8_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_mean_contribution_left	1545.2
RAW_8_quantile_0_4_ratio_to_whole_left	1497.0
RAW_3_detrend_volatility_normalized_whole	1457.0
CUMSUM_8_friedrich_coefficients_coeff_2_m_3_r_30_left	1409.8
DIFF_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_contribution_left	1394.8
RAW_8_ratio_beyond_r_sigma_0_5_diff	1378.8
RAW_2_ks_stat	1372.6
RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_diff	1365.6
RAW_8_ratio_beyond_r_sigma_1_ratio_to_whole_left	1350.4
RAW_1_stats_median_ratio	1319.6
RAW_7_sample_entropy_diff	1317.2
RAW_11_garch_params_alpha1_left	1314.8
DIFF_8_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_mean_right	1307.4
RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_whole	1305.0
DIFF_10_rpt_cost_cosine_right	1300.8
RAW_7_lziv_complexity_ratio_to_whole_left	1294.0
CUMSUM_9_ar_param_0_ratio_to_whole_left	1251.0
DIFF_7_perm_entropy_ratio_to_whole_left	1239.8
RAW_8_index_mass_quantile_q_0_1_diff	1237.2
DIFF_8_ar_coefficient_coeff_8_k_10_ratio_to_whole_right	1236.0
RAW_8_change_quantiles_f_agg_mean_isabs_True_qh_0_6_ql_0_4_ratio_to_whole_right	1235.2
CUMSUM_9_ar_param_4_ratio	1234.6
CUMSUM_9_ar_residuals_s1_pred_skew	1226.0
CUMSUM_3_detrend_volatility_normalized_ratio	1216.4
CUMSUM_1_stats_max_diff	1212.0
CUMSUM_1_stats_skew_left	1209.2
DIFF_8_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_mean_whole	1208.8
DIFF_9_ar_param_3_whole	1198.4
DIFF_8_ar_coefficient_coeff_0_k_10_contribution_left	1193.2
CUMSUM_10_rpt_cost_normal_right	1190.2
RAW_8_index_mass_quantile_q_0_8_left	1187.2
RAW_7_lziv_complexity_right	1184.6
CUMSUM_4_zero_cross_ratio_to_whole_right	1183.4
DIFF_1_stats_mean_ratio_to_whole_left	1178.6
RAW_4_autocorr_lag1_ratio	1174.8
DIFF_8_ratio_beyond_r_sigma_1_5_whole	1159.6
DIFF_7_detrended_fluctuation_ratio_to_whole_left	1157.4
RAW_7_sample_entropy_left	1145.2
DIFF_9_ar_param_0_right	1143.0
CUMSUM_8_change_quantiles_f_agg_var_isabs_False_qh_0_4_ql_0_2_ratio_to_whole_left	1130.6
DIFF_8_benford_correlation_left	1127.4
CUMSUM_9_ar_param_3_whole	1121.8
DIFF_8_agg_linear_trend_attr_slope_chunk_len_50_f_agg_mean_ratio_to_whole_left	1121.0
RAW_8_benford_correlation_whole	1119.4
CUMSUM_7_katz_fd_ratio_to_whole_left	1117.4
DIFF_1_stats_skew_ratio_to_whole_right	1100.6
CUMSUM_2_mannwhitney_stat	1097.8
DIFF_9_ar_param_0_ratio_to_whole_left	1094.8
CUMSUM_10_rpt_cost_rank_diff	1052.8
CUMSUM_1_stats_min_ratio	1051.4
DIFF_7_higuchi_fd_ratio_to_whole_left	1034.2
RAW_10_rpt_cost_cosine_whole	1028.6
RAW_8_count_above_0_left	1018.2
CUMSUM_8_ar_coefficient_coeff_2_k_10_contribution_left	1002.0
RAW_1_stats_median_right	996.4
CUMSUM_8_benford_correlation_left	988.4
CUMSUM_8_benford_correlation_whole	985.2
RAW_8_quantile_0_4_whole	977.0
RAW_8_quantile_0_4_right	974.8
RAW_7_sample_entropy_whole	969.6
RAW_1_stats_std_whole	967.8
RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left	960.8
RAW_3_detrend_mean_whole	954.6
CUMSUM_3_detrend_volatility_normalized_right	949.0
RAW_8_ratio_beyond_r_sigma_1_5_whole	939.6
RAW_9_ar_param_1_ratio	935.2
RAW_8_ratio_beyond_r_sigma_1_left	884.0
RAW_8_benford_correlation_left	877.2
RAW_8_count_above_0_whole	850.0
DIFF_8_benford_correlation_whole	839.8
DIFF_7_cond_entropy_left	834.0
RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	826.2
RAW_5_max_power_whole	815.4
RAW_8_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_2_whole	810.8
DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole	810.0
RAW_8_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4_whole	794.6
RAW_1_stats_median_whole	794.0
RAW_1_stats_min_whole	765.2
CUMSUM_7_hjorth_complexity_whole	758.6
CUMSUM_4_autocorr_lag1_whole	756.2
RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio_to_whole_right	742.8
RAW_8_ratio_value_number_to_time_series_length_ratio_to_whole_left	653.4
RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	640.8
CUMSUM_8_ar_coefficient_coeff_2_k_10_contribution_right	629.6
CUMSUM_2_kpss_pvalue_ratio_to_whole_left	495.6
CUMSUM_2_ad_pvalue	249.4
