feature	importance
RAW_1_stats_cv_whole	1638.0
RAW_10_fft_coefficient_attr_imag_coeff_1_whole	946.6
RAW_1_stats_median_ratio	935.2
RAW_12_rpt_cost_cosine_whole	933.8
RAW_10_first_location_of_maximum_left	925.4
RAW_11_param_5_diff	903.8
RAW_10_linear_trend_attr_rvalue_ratio	864.0
RAW_10_percentage_of_reoccurring_values_to_all_values	857.0
RAW_11_param_3_right	851.8
RAW_9_higuchi_fd_diff	840.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_	837.4
RAW_8_lziv_complexity_1	810.4
RAW_10_linear_trend_attr_intercept_ratio	775.2
RAW_2_kpss_stat_ratio	753.6
RAW_12_rpt_cost_rank_left	750.0
RAW_8_sample_entropy_diff	746.0
RAW_10_ar_coefficient_coeff_2_k_10_left	740.4
RAW_2_ks_stat	740.2
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_left	738.0
RAW_4_autocorr_lag1_diff	735.4
RAW_8_perm_entropy_0	721.2
RAW_8_perm_entropy_1	717.2
RAW_2_bartlett_stat	715.6
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_left	705.4
RAW_1_stats_skew_right	703.8
RAW_8_sample_entropy_0	696.8
RAW_10_partial_autocorrelation_lag_2_right	695.8
RAW_11_param_4_left	695.2
RAW_12_rpt_cost_cosine_left	677.6
RAW_8_hjorth_complexity_diff	671.6
RAW_1_stats_cv_diff	668.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_ratio	666.0
RAW_10_quantile_0_4_ratio	665.2
RAW_2_ttest_pvalue	665.0
RAW_10_change_quantiles_f_agg_mean_isabs_True_qh_1_0_ql_0_4_ratio	664.8
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio	663.6
RAW_10_fft_coefficient_attr_imag_coeff_1_left	652.2
RAW_8_sample_entropy_1	650.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_right	642.8
RAW_8_perm_entropy_whole	639.8
RAW_4_autocorr_lag1_ratio	638.4
RAW_3_sum_ratio	637.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_right	634.8
RAW_2_ad_stat	628.6
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_mean_whole	628.2
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_max_ratio	623.4
RAW_10_quantile_0_1_ratio	617.6
RAW_8_detrended_fluctuation_whole	615.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_	614.0
RAW_10_quantile_0_4_whole	608.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio	608.2
RAW_10_agg_linear_trend_attr_intercept_chunk_len_10_f_agg_mean_	606.2
RAW_10_quantile_0_6_ratio	595.6
RAW_1_stats_kurt_ratio	595.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_max_left	592.6
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_ratio	589.0
RAW_12_rpt_cost_cosine_ratio	587.2
RAW_1_stats_range_ratio	583.0
RAW_8_approx_entropy_whole	579.8
RAW_10_ratio_beyond_r_sigma_1_5	575.6
RAW_1_stats_median_whole	574.0
RAW_1_stats_min_diff	564.6
RAW_1_stats_cv_right	562.2
RAW_1_stats_kurt_right	562.2
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_max_right	560.8
