feature	importance
mul_RAW_3_detrend_volatility_normalized_whole_RAW_1_stats_std_whole	1254.0
sqmul_RAW_1_stats_mean_whole_RAW_3_detrend_volatility_normalized_whole	1097.8
sqmul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_quantile_0_4_contribution_left	1032.2
add_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_index_mass_quantile_q_0_1_right	963.2
div_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left_DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_1_0_ql_0_2_ratio	938.0
div_RAW_1_stats_median_whole_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left	913.6
mul_RAW_1_stats_cv_whole_RAW_1_stats_std_whole	876.2
add_DIFF_2_levene_pvalue_DIFF_7_sample_entropy_right	873.4
div_RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left_RAW_8_agg_linear_trend_attr_intercept_chunk_len_10_f_agg_max_ratio_to_whole_right	857.6
mul_RAW_2_bartlett_stat_DIFF_2_jb_pvalue_left	824.6
sqmul_RAW_8_linear_trend_attr_pvalue_ratio_to_whole_left_CUMSUM_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_ratio_to_whole_right	815.8
RAW_8_friedrich_coefficients_coeff_2_m_3_r_30_ratio_to_whole_right	815.0
div_RAW_8_ratio_value_number_to_time_series_length_ratio_to_whole_left_DIFF_8_count_above_0_contribution_left	814.2
sqmul_RAW_2_ad_stat_RAW_1_stats_kurt_left	778.8
div_DIFF_8_change_quantiles_f_agg_var_isabs_True_qh_0_8_ql_0_6_contribution_left_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio	777.6
sqmul_RAW_8_index_mass_quantile_q_0_1_right_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left	773.0
mul_CUMSUM_7_hjorth_complexity_whole_CUMSUM_2_kpss_pvalue_ratio_to_whole_left	766.6
RAW_8_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_left	764.0
add_RAW_7_sample_entropy_left_CUMSUM_8_first_location_of_maximum_whole	761.0
CUMSUM_9_ar_residuals_s1_pred_skew	746.0
sqmul_CUMSUM_7_svd_entropy_ratio_RAW_8_quantile_0_4_contribution_left	745.2
div_RAW_2_ad_stat_DIFF_8_linear_trend_attr_rvalue_contribution_right	735.6
div_RAW_7_sample_entropy_left_DIFF_2_jb_pvalue_left	734.4
RAW_8_quantile_0_6_ratio_to_whole_left	727.6
DIFF_8_linear_trend_attr_intercept_contribution_right	722.6
add_DIFF_2_bartlett_pvalue_DIFF_8_ar_coefficient_coeff_2_k_10_left	716.0
mul_RAW_8_agg_linear_trend_attr_slope_chunk_len_10_f_agg_mean_contribution_left_CUMSUM_1_stats_max_diff	713.8
sub_DIFF_7_hjorth_complexity_contribution_right_RAW_7_higuchi_fd_contribution_right	710.2
div_RAW_7_sample_entropy_left_RAW_8_ratio_beyond_r_sigma_1_left	698.4
div_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left_RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	692.0
CUMSUM_2_adf_pvalue_ratio_to_whole_right	684.4
sub_RAW_8_ratio_value_number_to_time_series_length_ratio_to_whole_right_CUMSUM_4_autocorr_lag1_whole	680.6
CUMSUM_8_index_mass_quantile_q_0_1_ratio_to_whole_left	674.0
add_RAW_1_stats_std_whole_RAW_8_ratio_value_number_to_time_series_length_whole	668.4
DIFF_9_ar_param_5_right	667.0
div_RAW_1_stats_min_whole_RAW_1_stats_range_left	666.2
div_RAW_10_rpt_cost_cosine_whole_CUMSUM_2_adf_stat_diff	662.4
div_RAW_1_stats_median_right_CUMSUM_1_stats_max_diff	658.6
mul_RAW_10_rpt_cost_cosine_whole_RAW_1_stats_median_ratio	656.4
mul_CUMSUM_2_wilcoxon_stat_RAW_8_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4_ratio_to_whole_right	656.0
CUMSUM_8_partial_autocorrelation_lag_2_ratio_to_whole_left	643.0
mul_RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left_RAW_8_ratio_value_number_to_time_series_length_ratio_to_whole_left	640.4
CUMSUM_8_number_peaks_25_ratio	638.6
CUMSUM_9_ar_param_0_ratio_to_whole_left	634.8
sub_RAW_1_stats_min_whole_RAW_7_approx_entropy_whole	634.2
mul_DIFF_2_levene_pvalue_CUMSUM_3_detrend_volatility_normalized_right	629.8
div_RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left_CUMSUM_2_adf_stat_diff	628.4
CUMSUM_8_change_quantiles_f_agg_var_isabs_True_qh_0_8_ql_0_6_ratio_to_whole_left	627.2
mul_RAW_8_index_mass_quantile_q_0_1_right_RAW_10_rpt_cost_cosine_whole	626.8
div_RAW_8_quantile_0_4_right_RAW_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_whole	623.8
div_CUMSUM_8_partial_autocorrelation_lag_4_ratio_to_whole_left_RAW_8_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_2_diff	619.6
div_CUMSUM_2_ad_pvalue_DIFF_8_linear_trend_attr_rvalue_contribution_right	609.6
sqmul_CUMSUM_8_partial_autocorrelation_lag_4_ratio_to_whole_left_RAW_8_friedrich_coefficients_coeff_3_m_3_r_30_ratio	603.0
RAW_7_lziv_complexity_diff	599.4
mul_RAW_7_sample_entropy_left_DIFF_8_quantile_0_4_contribution_left	595.6
div_RAW_2_ad_stat_RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left	592.0
div_CUMSUM_8_ar_coefficient_coeff_2_k_10_ratio_RAW_1_stats_kurt_left	591.2
RAW_1_stats_skew_ratio	587.6
div_RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left_RAW_8_agg_linear_trend_attr_slope_chunk_len_10_f_agg_mean_contribution_left	587.2
add_RAW_8_ratio_beyond_r_sigma_3_left_DIFF_7_hjorth_complexity_ratio_to_whole_right	585.6
sqmul_RAW_7_sample_entropy_left_RAW_8_count_above_0_whole	585.4
