feature	importance
RAW_1_stats_cv_whole	2073.0
RAW_10_fft_coefficient_attr_imag_coeff_1_whole	1335.4
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_left	1327.2
RAW_10_linear_trend_attr_rvalue_ratio	1305.2
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_diff	1273.2
RAW_12_rpt_cost_cosine_whole	1204.6
RAW_11_param_3_right	1198.6
RAW_8_perm_entropy_left	1197.2
RAW_10_percentage_of_reoccurring_values_to_all_values_diff	1128.2
RAW_11_param_5_diff	1127.0
RAW_1_stats_median_ratio	1107.2
RAW_4_autocorr_lag1_ratio	1100.8
RAW_10_ratio_beyond_r_sigma_1_5_diff	1066.2
RAW_12_rpt_cost_rank_left	1057.2
RAW_8_sample_entropy_diff	1051.2
RAW_10_linear_trend_attr_intercept_ratio	1046.2
RAW_2_ttest_pvalue	1026.4
RAW_8_hjorth_complexity_diff	1007.4
RAW_1_stats_range_ratio	1007.0
RAW_11_param_4_left	995.0
RAW_8_sample_entropy_right	991.8
RAW_4_autocorr_lag1_diff	981.4
RAW_10_quantile_0_4_ratio	976.6
RAW_10_fft_coefficient_attr_imag_coeff_1_left	971.4
RAW_3_sum_ratio	971.2
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_right	947.2
RAW_8_sample_entropy_left	937.8
RAW_1_stats_kurt_right	936.8
RAW_8_detrended_fluctuation_whole	914.8
RAW_2_ks_stat	907.6
RAW_11_param_0_ratio	882.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_diff	868.8
RAW_1_stats_mean_right	860.2
RAW_1_stats_median_diff	857.0
RAW_10_change_quantiles_f_agg_mean_isabs_True_qh_1_0_ql_0_4_ratio	846.0
RAW_1_stats_min_diff	841.6
RAW_1_stats_kurt_left	827.2
RAW_1_stats_mean_of_rolling_std_ratio	822.2
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_max_right	814.4
RAW_10_quantile_0_1_ratio	814.0
RAW_2_bartlett_stat	806.0
RAW_10_quantile_0_4_whole	800.0
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_max_diff	794.0
RAW_8_approx_entropy_whole	778.6
RAW_2_ad_stat	747.6
RAW_1_stats_median_whole	740.8
RAW_1_stats_mean_whole	740.2
RAW_10_ratio_beyond_r_sigma_1_5_whole	722.6
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio	720.0
RAW_1_stats_median_right	707.4
RAW_10_quantile_0_4_right	705.4
RAW_1_stats_kurt_whole	697.2
RAW_8_cond_entropy_left	684.4
RAW_2_ks_pvalue	681.8
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4_ratio	672.4
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_right	647.4
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_diff	644.4
RAW_8_sample_entropy_whole	643.2
RAW_1_stats_std_whole	632.4
RAW_11_param_0_whole	619.8
RAW_2_levene_stat	617.4
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_ratio	614.4
RAW_2_shapiro_pvalue_left	614.4
RAW_2_jb_pvalue_ratio	586.8
RAW_1_stats_min_whole	543.2
RAW_10_ratio_value_number_to_time_series_length_whole	527.2
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole	483.0
RAW_2_bartlett_pvalue	467.2
RAW_10_ratio_beyond_r_sigma_6_ratio	439.8
RAW_2_shapiro_pvalue_whole	439.2
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_4_whole	433.4
RAW_2_levene_pvalue	410.4
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_2_whole	410.0
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_whole	396.4
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_left	390.8
RAW_10_ratio_value_number_to_time_series_length_diff	370.6
RAW_7_rolling_std_w50_mean_whole	353.8
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_2_whole	321.6
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio	293.8
RAW_10_percentage_of_reoccurring_values_to_all_values_left	241.0
RAW_2_jb_pvalue_left	235.8
RAW_2_ad_pvalue	235.0
RAW_10_ratio_value_number_to_time_series_length_ratio	147.2
RAW_10_ratio_value_number_to_time_series_length_left	138.4
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_left	102.6
