feature	importance
RAW_1_stats_cv_whole	2275.6
RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_right	1439.4
RAW_10_fft_coefficient_attr_imag_coeff_1_ratio_to_whole_left	1428.6
RAW_3_cumsum_max_ratio_to_whole_left	1368.2
RAW_10_linear_trend_attr_rvalue_ratio	1336.6
RAW_10_quantile_0_4_contribution_left	1336.4
RAW_4_autocorr_lag1_diff	1301.2
RAW_12_rpt_cost_cosine_whole	1278.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_diff	1275.6
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio_to_whole_left	1258.6
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_right	1237.2
RAW_11_param_3_right	1232.2
RAW_8_lziv_complexity_right	1228.6
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_left	1168.2
RAW_1_stats_skew_right	1149.6
RAW_10_quantile_0_6_ratio_to_whole_left	1139.6
RAW_4_autocorr_lag1_ratio	1137.4
RAW_2_ttest_pvalue	1109.2
RAW_1_stats_median_ratio	1103.2
RAW_11_param_5_diff	1102.2
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_5_f_agg_max_diff	1099.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_contribution_left	1071.8
RAW_8_perm_entropy_left	1063.0
RAW_10_fft_coefficient_attr_imag_coeff_2_ratio_to_whole_left	1062.2
RAW_10_fft_coefficient_attr_imag_coeff_3_ratio_to_whole_right	1053.6
RAW_10_agg_linear_trend_attr_intercept_chunk_len_10_f_agg_max_ratio_to_whole_right	1044.0
RAW_10_fft_coefficient_attr_imag_coeff_1_whole	1020.4
RAW_1_stats_min_diff	987.6
RAW_4_autocorr_lag1_whole	983.8
RAW_10_linear_trend_attr_intercept_ratio	966.0
RAW_1_stats_median_contribution_right	964.0
RAW_8_sample_entropy_left	960.8
RAW_10_fft_coefficient_attr_imag_coeff_1_left	958.0
RAW_2_ks_stat	953.4
RAW_8_svd_entropy_ratio_to_whole_left	945.8
RAW_10_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_ratio	941.2
RAW_8_perm_entropy_whole	935.6
RAW_1_stats_median_whole	908.2
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_1_0_ql_0_4_contribution_left	898.2
RAW_2_ad_stat	894.2
RAW_10_quantile_0_4_right	892.4
RAW_11_param_0_ratio_to_whole_right	884.6
RAW_1_stats_kurt_right	871.8
RAW_10_agg_linear_trend_attr_intercept_chunk_len_50_f_agg_mean_ratio_to_whole_left	869.6
RAW_10_ar_coefficient_coeff_2_k_10_left	855.6
RAW_8_sample_entropy_diff	834.2
RAW_2_bartlett_pvalue	830.8
RAW_10_quantile_0_4_whole	828.0
RAW_8_katz_fd_whole	821.4
RAW_10_ratio_beyond_r_sigma_1_5_diff	820.0
RAW_8_spectral_entropy_left	819.4
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_ratio_to_whole_right	787.0
RAW_10_linear_trend_attr_intercept_ratio_to_whole_left	786.0
RAW_1_stats_mean_whole	784.0
RAW_10_linear_trend_attr_intercept_contribution_left	781.4
RAW_8_sample_entropy_whole	775.2
RAW_8_svd_entropy_whole	764.2
RAW_2_levene_stat	760.0
RAW_1_stats_cv_ratio_to_whole_left	738.8
RAW_10_partial_autocorrelation_lag_2_left	736.6
RAW_10_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left	718.8
RAW_8_sample_entropy_contribution_right	718.0
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_8_ql_0_4_contribution_left	713.6
RAW_2_ks_pvalue	711.8
RAW_10_ratio_beyond_r_sigma_1_5_whole	709.4
RAW_10_ratio_beyond_r_sigma_1_5_contribution_left	708.6
RAW_1_stats_mean_right	702.6
RAW_2_adf_icbest_left	696.2
RAW_11_param_0_right	694.2
RAW_1_stats_kurt_left	690.4
RAW_10_ratio_beyond_r_sigma_1_5_left	648.2
RAW_8_approx_entropy_whole	629.4
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_right	625.0
RAW_10_percentage_of_reoccurring_values_to_all_values_contribution_left	620.8
RAW_8_cond_entropy_left	617.2
RAW_11_param_0_whole	609.8
RAW_2_bartlett_stat	560.6
RAW_1_stats_kurt_whole	551.4
RAW_1_stats_std_whole	539.0
RAW_10_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left	534.2
RAW_10_quantile_0_6_whole	523.8
RAW_5_max_power_whole	523.0
RAW_2_levene_pvalue	499.6
RAW_1_stats_min_whole	496.8
RAW_10_ratio_value_number_to_time_series_length_ratio_to_whole_left	481.6
RAW_2_shapiro_pvalue_left	468.6
RAW_10_percentage_of_reoccurring_values_to_all_values_diff	429.6
RAW_10_change_quantiles_f_agg_var_isabs_False_qh_0_8_ql_0_0_whole	419.6
RAW_10_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4_whole	399.6
