feature	permutation_importance_mean	permutation_importance_std
RAW_2_ad_stat_yj	0.02909958081933934	0.007848223395613068
RAW_8_percentage_of_reoccurring_values_to_all_values_contribution_left_yj	0.025772878094958936	0.006665939880686742
RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_contribution_left_yj	0.020586856164587195	0.011400224754043486
RAW_3_detrend_volatility_normalized_whole_yj	0.01705750711066382	0.0064827226943436015
RAW_1_stats_cv_whole_yj	0.012123453332336876	0.002498777888757136
RAW_8_index_mass_quantile_q_0_8_ratio_to_whole_left	0.01075449842389779	0.0011896208092572317
RAW_2_ks_stat_yj	0.00961650920665422	0.00389793661319577
RAW_1_stats_std_whole_yj	0.008155874599813814	0.0022096200596494735
RAW_8_percentage_of_reoccurring_values_to_all_values_ratio_to_whole_left_yj	0.008100857573614511	0.004621552366154077
RAW_8_index_mass_quantile_q_0_1_right_yj	0.007630468365216624	0.0016121639035318284
RAW_7_sample_entropy_left_yj	0.005530865984869572	0.0022496449175734494
CUMSUM_8_change_quantiles_f_agg_mean_isabs_True_qh_1_0_ql_0_4_ratio_to_whole_left	0.004964311122889751	0.002145838269943995
RAW_8_quantile_0_4_whole_yj	0.004676330864821227	0.0021040048665986817
DIFF_8_change_quantiles_f_agg_var_isabs_False_qh_0_6_ql_0_4_whole_yj	0.004318404805883569	0.0022078273434806366
CUMSUM_2_ad_pvalue_yj	0.003996425474424541	0.0011614140786860344
RAW_8_percentage_of_reoccurring_datapoints_to_all_datapoints_ratio_to_whole_right_yj	0.0039466064957194786	0.0029644098568068554
RAW_8_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_2_whole_yj	0.003508495006839033	0.0018531142615603705
RAW_8_change_quantiles_f_agg_var_isabs_True_qh_1_0_ql_0_4_contribution_left	0.003177053021346303	0.0015468172075878178
RAW_8_ratio_value_number_to_time_series_length_ratio_to_whole_left_yj	0.003173148544042667	0.0010645386691204336
RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_left_yj	0.00305629837134924	0.0012999086869815092
CUMSUM_2_kpss_pvalue_ratio_to_whole_left_yj	0.002806233788775906	0.0016470426287429232
RAW_8_benford_correlation_whole_yj	0.0027661741820501763	0.0010888559737484292
RAW_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_mean_diff	0.002587560590297624	0.001053862323362166
RAW_8_ratio_beyond_r_sigma_0_5_diff	0.0025233583824960893	0.0015893340466357183
DIFF_7_cond_entropy_left_yj	0.0023350463831773517	0.001707901505707822
CUMSUM_8_friedrich_coefficients_coeff_2_m_3_r_30_left_yj	0.0022286275778894736	0.0006282307127817745
RAW_8_change_quantiles_f_agg_var_isabs_True_qh_0_6_ql_0_4_whole_yj	0.0022236242727702027	0.001246168089255482
RAW_7_sample_entropy_diff	0.002094742766860823	0.0004406221767715229
RAW_8_quantile_0_4_ratio_to_whole_left_yj	0.00195522530610742	0.00021860025013119836
CUMSUM_3_detrend_volatility_normalized_right_yj	0.001929962604922203	0.0006129095766053067
RAW_11_garch_params_alpha1_left_yj	0.0018526447911002674	0.00023860341979852262
RAW_1_stats_median_whole_yj	0.001774874936968359	0.0010880417486018787
CUMSUM_9_ar_param_0_ratio_to_whole_left_yj	0.001762101191462747	0.000509542965483725
RAW_8_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_mean_contribution_left_yj	0.0017404226140050548	0.00045220208112890716
CUMSUM_1_stats_max_diff_yj	0.001622630189891586	0.00046942945370446787
DIFF_8_benford_correlation_left_yj	0.0015524511140106558	0.0011624184523837695
RAW_7_sample_entropy_whole_yj	0.001509765757310959	0.0009394979299292469
RAW_8_energy_ratio_by_chunks_num_segments_10_segment_focus_9_whole_yj	0.0014582831295141183	0.0006492489617818388
RAW_1_stats_min_whole_yj	0.00144526215718394	0.0012927163787224425
RAW_4_autocorr_lag1_ratio_yj	0.0014408604702224167	0.0010120451126833059
CUMSUM_10_rpt_cost_normal_right_yj	0.0014118355839627683	0.000660923848056818
CUMSUM_1_stats_min_ratio_yj	0.001355022235209222	0.00047949635479207895
CUMSUM_9_ar_residuals_s1_pred_skew	0.001340764649266164	0.00018094364150558173
RAW_5_max_power_whole_yj	0.001318121964620248	0.0005971131454601959
CUMSUM_3_detrend_volatility_normalized_ratio_yj	0.0012855943897846622	0.0008845468832871765
RAW_8_ratio_beyond_r_sigma_1_ratio_to_whole_left_yj	0.0012468415361794694	0.00038395371842715796
RAW_1_stats_median_ratio_yj	0.0012261549774133884	0.0008050202135456707
DIFF_9_ar_param_3_whole	0.0012123978576001368	0.0009610234989822255
DIFF_8_agg_linear_trend_attr_rvalue_chunk_len_50_f_agg_max_contribution_left_yj	0.0011877262715186386	0.0007330926551425738
DIFF_8_ratio_beyond_r_sigma_1_5_whole	0.0011425962886867347	0.0007319015333128163
RAW_8_index_mass_quantile_q_0_8_left	0.0010900304707590802	0.00042609713453880936
RAW_10_rpt_cost_cosine_whole_yj	0.0010871726294331787	0.0012570809810703862
DIFF_8_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_mean_whole	0.0010656231532499272	0.0003890941243289585
CUMSUM_2_mannwhitney_stat_yj	0.001065564956941505	0.0009819587403101548
RAW_8_quantile_0_4_right_yj	0.0010580572448338423	0.0006276413840606196
RAW_8_index_mass_quantile_q_0_1_diff	0.0010512681535629043	0.0006252068104779848
DIFF_7_perm_entropy_ratio_to_whole_left_yj	0.001050417806382684	0.0005750969640337048
CUMSUM_1_stats_skew_left	0.001029647261397678	0.0007446455724139683
DIFF_7_detrended_fluctuation_ratio_to_whole_left_yj	0.0009816973793916207	0.001160764838227416
RAW_1_stats_median_right_yj	0.0009750088675209601	0.00019990848650145107
DIFF_8_benford_correlation_whole_yj	0.0009503159423457253	0.0008590709587606986
RAW_8_change_quantiles_f_agg_mean_isabs_True_qh_0_6_ql_0_4_ratio_to_whole_right_yj	0.0009360426596193794	0.0012276773859230922
CUMSUM_7_katz_fd_ratio_to_whole_left_yj	0.0008903134626930896	0.00039060625957555885
DIFF_1_stats_mean_ratio_to_whole_left_yj	0.0008002575271107082	0.0009148793968469033
CUMSUM_7_hjorth_complexity_whole	0.0007751215565292268	0.0003555283212438903
CUMSUM_10_rpt_cost_rank_diff	0.0007478918321948591	0.0007493333671473321
CUMSUM_4_zero_cross_ratio_to_whole_right_yj	0.0007210951699442691	0.00019561671247781686
RAW_8_count_above_0_whole	0.000720387554976365	0.0006163605670226459
DIFF_8_agg_linear_trend_attr_rvalue_chunk_len_10_f_agg_mean_right	0.0006428293060844192	0.000885400498641542
RAW_7_lziv_complexity_right	0.000624649351958989	0.000453456458574552
RAW_8_ratio_beyond_r_sigma_1_5_whole_yj	0.0005906308134595694	0.0006997546608752916
DIFF_10_rpt_cost_cosine_right_yj	0.0005841884046604873	0.000485114085816653
CUMSUM_4_autocorr_lag1_whole_yj	0.0005838291852267363	0.0002874444740401853
CUMSUM_8_change_quantiles_f_agg_var_isabs_False_qh_0_4_ql_0_2_ratio_to_whole_left_yj	0.0005781144445938835	0.0006865412262772809
RAW_8_ratio_beyond_r_sigma_1_left_yj	0.0005593770181128788	0.0005070570146619893
DIFF_9_ar_param_0_ratio_to_whole_left_yj	0.0005432908949166626	0.0005519224791354368
